city_key,country,city,source_row_count,distinct_club_id_count,distinct_club_name_count,club_ids,club_names,leagues,stadiums,source_encoding_detected
algeria__bologhine__2a06eae9,Algeria,Bologhine,1,1,1,c_usm_alger_1a6b6d83,USM Alger,Algerian Ligue Professionnelle 1,Omar Hamadi Stadium,utf-8-sig
algeria__tizi-ouzou__c56f377f,Algeria,Tizi Ouzou,1,1,1,c_js_kabylie_dbd91381,JS Kabylie,Algerian Ligue Professionnelle 1,Hocine-Ait Ahmed Stadium,utf-8-sig
argentina__avellaneda__53933d27,Argentina,Avellaneda,1,1,1,c_independiente_4f0bb709,Club Atlético Independiente,Primera División de Argentina,Estadio Libertadores de América,utf-8-sig
argentina__buenos-aires__c0c3273b,Argentina,Buenos Aires,5,5,5,c_boca_juniors_6bfb0da4 | c_huracan_1cba27c3 | c_river_plate_6e5bb3c0 | c_san_lorenzo_e834d80a | c_velez_sarsfield_1118a976,Boca Juniors | Club Atlético Huracán | Club Atlético River Plate | San Lorenzo de Almagro | Vélez Sarsfield,Primera División de Argentina,Estadio Monumental | Estadio Pedro Bidegain | Estadio Tomás Adolfo Ducó | José Amalfitani Stadium | La Bombonera,utf-8-sig
argentina__cordoba__87aaafb6,Argentina,Córdoba,1,1,1,c_talleres_44a8f91d,Talleres,Primera División de Argentina,Estadio La Boutique,utf-8-sig
argentina__la-plata__278b9175,Argentina,La Plata,1,1,1,c_estudiantes_de_la_plata_9139330d,Club Estudiantes de La Plata,Primera División de Argentina,Estadio Jorge Luis Hirschi,utf-8-sig
argentina__lanus__b56894e3,Argentina,Lanús,1,1,1,c_lanus_7b7e52a5,Club Atlético Lanús,Primera División de Argentina,Estadio Ciudad de Lanús Néstor Díaz Pérez,utf-8-sig
argentina__mendoza__eb872bb5,Argentina,Mendoza,1,1,1,c_independiente_rivadavia_c01b9f67,Independiente Rivadavia,Primera División de Argentina,Estadio Bautista Gargantini,utf-8-sig
argentina__rosario__cf0fb038,Argentina,Rosario,1,1,1,c_rosario_central_d0d1a866,Rosario Central,Primera División de Argentina,Estadio Gigante de Arroyito,utf-8-sig
armenia__yerevan__cc3107b7,Armenia,Yerevan,1,1,1,c_fc_noah_5f5fceba,FC Noah,Armenian Premier League,Mika Stadium,utf-8-sig
australia__melbourne__9da5b18f,Australia,Melbourne,2,2,2,c_melbourne_city_04bdf721 | c_melbourne_victory_7173b295,Melbourne City FC | Melbourne Victory FC,A-League Men,Melbourne Rectangular Stadium,utf-8-sig
australia__newcastle__c442928a,Australia,Newcastle,1,1,1,c_newcastle_jets_131175aa,Newcastle Jets FC,A-League Men,Newcastle International Sports Centre,utf-8-sig
australia__parramatta__5cb93a08,Australia,Parramatta,1,1,1,c_western_sydney_wanderers_ad68f75f,Western Sydney Wanderers,A-League Men,Western Sydney Stadium,utf-8-sig
australia__sydney__7905782c,Australia,Sydney,1,1,1,c_sydney_fc_46493459,Sydney FC,A-League Men,Sydney Football Stadium,utf-8-sig
austria__liebenau__2347f39f,Austria,Liebenau,1,1,1,c_grazer_ak_845301c1,Grazer AK,Bundesliga,Merkur Arena,utf-8-sig
austria__linz__342e5b18,Austria,Linz,1,1,1,c_lask_ec5e4ca0,LASK,Bundesliga,Linzer Stadion,utf-8-sig
austria__vienna__0b10dcf1,Austria,Vienna,1,1,1,c_austria_vienna_84acf87e,Austria Vienna,Bundesliga,Generali Arena,utf-8-sig
austria__wals-siezenheim__dd26f0f9,Austria,Wals-Siezenheim,1,1,1,c_rb_salzburg_64bce3ab,RB Salzburg,Bundesliga,Red Bull Arena,utf-8-sig
austria__wolfsberg__581feb5a,Austria,Wolfsberg,1,1,1,c_wolfsberger_ac_ca70d247,Wolfsberger AC,Bundesliga,Lavanttal-Arena,utf-8-sig
azerbaijan__masazir__c97f8d54,Azerbaijan,Masazir,1,1,1,c_sabah_53be0096,Sabah FK (Azerbaijan),Azerbaijan Premier League,Bank Respublika Arena,utf-8-sig
azerbaijan__tovuz__046748ac,Azerbaijan,Tovuz,1,1,1,c_turan_tovuz_b1656aa6,Turan Tovuz,Azerbaijan Premier League,Tovuz City Stadium,utf-8-sig
belgium__anderlecht__9ef158b9,Belgium,Anderlecht,1,1,1,c_anderlecht_b0025a96,Anderlecht,Belgian Pro League,Lotto Park,utf-8-sig
belgium__antwerp__3754ba80,Belgium,Antwerp,1,1,1,c_antwerp_7961b08d,Antwerp,Belgian Pro League,Stadion Broodstraat,utf-8-sig
belgium__beveren__383d8e3f,Belgium,Beveren,1,1,1,c_beveren_04c54466,SK Beveren,Belgian Pro League,Freethiel Stadion,utf-8-sig
belgium__bruges__a0f80d78,Belgium,Bruges,2,2,2,c_cercle_brugge_02b4f133 | c_club_brugge_ea2adfc5,Cercle Brugge KSV | Club Brugge KV,Belgian Pro League,Jan Breydel Stadium,utf-8-sig
belgium__charleroi__c5857956,Belgium,Charleroi,1,1,1,c_charleroi_62356bf9,Royal Charleroi SC,Belgian Pro League,Stade du Pays de Charleroi,utf-8-sig
belgium__denderleeuw__2661c298,Belgium,Denderleeuw,1,1,1,c_fcv_dender_decd464d,FCV Dender,Belgian Pro League,Florent Beeckmanstadion,utf-8-sig
belgium__forest__44e6a05e,Belgium,Forest,1,1,1,c_union_st_gilloise_b8dea71a,Union St.-Gilloise,Belgian Pro League,Joseph Marien Stadium,utf-8-sig
belgium__genk__27fe367c,Belgium,Genk,2,2,2,c_genk_8993c379 | c_racing_genk_584dd89f,KRC Genk | Racing Genk,Belgian Pro League,Cegeka Arena,utf-8-sig
belgium__ghent__71d06c23,Belgium,Ghent,1,1,1,c_gent_2f000c7f,Gent,Belgian Pro League,Jules Ottenstadion,utf-8-sig
belgium__liege__20fa3a3c,Belgium,Liège,1,1,1,c_standard_liege_3e26b5d7,Standard Liège,Belgian Pro League,Stade Maurice Dufrasne,utf-8-sig
belgium__mechelen__5bb93991,Belgium,Mechelen,1,1,1,c_kv_mechelen_5d03665d,KV Mechelen,Belgian Pro League,AFAS Stadion KV Mechelen,utf-8-sig
belgium__sint-truiden__a9bccf22,Belgium,Sint-Truiden,1,1,1,c_sint_truiden_eb30716d,Sint-Truiden,Belgian Pro League,Stayen,utf-8-sig
belgium__waregem__306d68da,Belgium,Waregem,1,1,1,c_zulte_waregem_051e6315,Zulte Waregem,Belgian Pro League,Regenboogstadion,utf-8-sig
brazil__belo-horizonte__17075586,Brazil,Belo Horizonte,1,1,1,c_atletico_mineiro_a8379d4f,Atletico Mineiro,Campeonato Brasileiro Série A,Arena MRV,utf-8-sig
brazil__braganca-paulista__c61f79ec,Brazil,Bragança Paulista,1,1,1,c_red_bull_bragantino_35c794b1,Red Bull Bragantino,Campeonato Brasileiro Série A,Estádio Cícero de Souza Marques,utf-8-sig
brazil__curitiba__c7294ea8,Brazil,Curitiba,1,1,1,c_athletico_paranaense_2178bb1a,Club Athletico Paranaense,Campeonato Brasileiro Série A,Arena da Baixada,utf-8-sig
brazil__morumbi__7ffce1ca,Brazil,Morumbi,1,1,1,c_sao_paulo_512a018c,São Paulo,Campeonato Brasileiro Série A,Estádio do Morumbi,utf-8-sig
brazil__porto-alegre__1598d89e,Brazil,Porto Alegre,2,2,2,c_gremio_c49f51d7 | c_internacional_9f25f9e5,Grêmio FBPA | SC Internacional,Campeonato Brasileiro Série A,Arena do Grêmio | Estádio Beira-Rio,utf-8-sig
