city_key,country,city,preferred_city_query,review_status,review_priority,source_row_count,club_names,stadiums,primary_stadium_context_query,primary_club_context_query,trusted_stadium_hint_coord_count,existing_club_coord_centroid_lat,existing_club_coord_centroid_lon,existing_coordinate_basis_values,existing_coordinate_source_urls,data_quality_flags,review_notes
england__london__a0c2be3a,England,London,"London, England",ready_for_geocoding_with_local_hints,medium,7,Arsenal F.C. | Charlton Athletic F.C. | Chelsea F.C. | Crystal Palace F.C. | Fulham F.C. | Millwall F.C. | West Ham United F.C.,Craven Cottage | Emirates Stadium | London Stadium | Selhurst Park | Stamford Bridge | The Den | The Valley,"Craven Cottage, London, England","Arsenal F.C., London, England",7,51.48884759,-0.09117951,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q1066373 | https://www.wikidata.org/wiki/Q163995 | https://www.wikidata.org/wiki/Q171458 | https://www.wikidata.org/wiki/Q172190 | https://www.wikidata.org/wiki/Q318043 | https://www.wikidata.org/wiki/Q908481 | https://www.wikidata.org/wiki/Q958319,multiple_clubs_same_city_country | multiple_stadium_contexts,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
qatar__doha__d0c76c19,Qatar,Doha,"Doha, Qatar",ready_for_geocoding_with_local_hints,medium,6,Al Duhail | Al Gharafa | Al Sadd SC | Al-Arabi SC (Qatar) | Al-Sailiya SC | Qatar SC,Grand Hamad Stadium | Hamad bin Khalifa Stadium | Jassim Bin Hamad Stadium | Lekhwiya Sports Stadium | Suheim bin Hamad Stadium | Thani bin Jassim Stadium,"Grand Hamad Stadium, Doha, Qatar","Al Duhail, Doha, Qatar",5,25.31213440,51.48539100,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q1073161 | https://www.wikidata.org/wiki/Q1151332 | https://www.wikidata.org/wiki/Q3271676 | https://www.wikidata.org/wiki/Q428177 | https://www.wikidata.org/wiki/Q6181753,multiple_clubs_same_city_country | multiple_stadium_contexts,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
argentina__buenos-aires__c0c3273b,Argentina,Buenos Aires,"Buenos Aires, Argentina",ready_for_geocoding_with_local_hints,medium,5,Boca Juniors | Club Atlético Huracán | Club Atlético River Plate | San Lorenzo de Almagro | Vélez Sarsfield,Estadio Monumental | Estadio Pedro Bidegain | Estadio Tomás Adolfo Ducó | José Amalfitani Stadium | La Bombonera,"Estadio Monumental, Buenos Aires, Argentina","Boca Juniors, Buenos Aires, Argentina",3,-34.60340278,-58.44333885,wikidata_club_coordinate_P625_review_needed | wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q1196603 | https://www.wikidata.org/wiki/Q16604121 | https://www.wikidata.org/wiki/Q2481355 | https://www.wikidata.org/wiki/Q276354,multiple_clubs_same_city_country | multiple_stadium_contexts,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
brazil__rio-de-janeiro__461176f5,Brazil,Rio de Janeiro,"Rio de Janeiro, Brazil",ready_for_geocoding_with_local_hints,medium,4,Botafogo FR | CR Flamengo | CR Vasco da Gama | Fluminense FC,Estádio Olímpico Nilton Santos | Maracanã Stadium | São Januário,"Estádio Olímpico Nilton Santos, Rio de Janeiro, Brazil","Botafogo FR, Rio de Janeiro, Brazil",4,-22.90210550,-43.24521239,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q155174 | https://www.wikidata.org/wiki/Q17489 | https://www.wikidata.org/wiki/Q721419,multiple_clubs_same_city_country | multiple_stadium_contexts,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
saudi-arabia__riyadh__e7a5cde7,Saudi Arabia,Riyadh,"Riyadh, Saudi Arabia",ready_for_geocoding_with_local_hints,medium,4,Al Hilal SFC | Al Shabab Club | Al-Nassr FC | Al-Riyadh SC,Al-Shabab Club Stadium | King Saud University Stadium | Kingdom Arena | Prince Turki bin Abdul Aziz Stadium,"Al-Shabab Club Stadium, Riyadh, Saudi Arabia","Al Hilal SFC, Riyadh, Saudi Arabia",4,24.44595639,49.55752561,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q20421103 | https://www.wikidata.org/wiki/Q3272395 | https://www.wikidata.org/wiki/Q763077 | https://www.wikidata.org/wiki/Q85794527,multiple_clubs_same_city_country | multiple_stadium_contexts | trusted_local_hints_have_large_spread,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
cyprus__kolossi__faffbad3,Cyprus,Kolossi,"Kolossi, Cyprus",ready_for_geocoding_with_local_hints,medium,3,AEL Limassol | Apollon Limassol FC | Aris Limassol FC,Alphamega Stadium,"Alphamega Stadium, Kolossi, Cyprus","AEL Limassol, Kolossi, Cyprus",3,34.69319400,32.93927800,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q60417957,multiple_clubs_same_city_country,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
egypt__cairo__f51a7213,Egypt,Cairo,"Cairo, Egypt",ready_for_geocoding_with_local_hints,medium,3,Al Ahly SC | Pyramids FC | Zamalek SC,30 June Stadium | Cairo International Stadium,"30 June Stadium, Cairo, Egypt","Al Ahly SC, Cairo, Egypt",3,30.08783700,31.37367767,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q158985 | https://www.wikidata.org/wiki/Q430815 | https://www.wikidata.org/wiki/Q4634507,multiple_clubs_same_city_country | multiple_stadium_contexts,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
iraq__baghdad__3a5c37cd,Iraq,Baghdad,"Baghdad, Iraq",ready_for_geocoding_with_local_hints,medium,3,Al-Quwa Al-Jawiya | Al-Talaba | Al-Zawraa,Al Talaba Stadium | Al-Shaab Stadium | Al-Zawraa Stadium,"Al Talaba Stadium, Baghdad, Iraq","Al-Quwa Al-Jawiya, Baghdad, Iraq",3,33.35854767,44.39995033,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q2117452 | https://www.wikidata.org/wiki/Q2649596 | https://www.wikidata.org/wiki/Q4119771,multiple_clubs_same_city_country | multiple_stadium_contexts,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
portugal__lisbon__1241cb97,Portugal,Lisbon,"Lisbon, Portugal",ready_for_geocoding_with_local_hints,medium,3,Casa Pia A.C. | S.L. Benfica | Sporting CP,Estádio José Alvalade | Estádio Pina Manique | Estádio da Luz,"Estádio José Alvalade, Lisbon, Portugal","Casa Pia A.C., Lisbon, Portugal",2,38.75779774,-9.17166976,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q3059094 | https://www.wikidata.org/wiki/Q7875112,multiple_clubs_same_city_country | multiple_stadium_contexts,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
russia__moscow__d2e4137f,Russia,Moscow,"Moscow, Russia",ready_for_geocoding_with_local_hints,medium,3,FC Dynamo Moscow | FC Lokomotiv Moscow | FC Spartak Moscow,Lukoil Arena | RZD Arena | VTB Arena,"Lukoil Arena, Moscow, Russia","FC Dynamo Moscow, Moscow, Russia",2,55.81067500,37.59073450,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q1190634 | https://www.wikidata.org/wiki/Q595937,multiple_clubs_same_city_country | multiple_stadium_contexts,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
