city_key,country,city,preferred_city_query,source_row_count,distinct_club_id_count,distinct_club_name_count,club_ids,club_names,leagues,stadiums,primary_stadium_context_query,primary_club_context_query,legacy_geonames_city_queries,legacy_stadium_queries,legacy_club_queries,existing_club_coord_count,trusted_stadium_hint_coord_count,existing_club_coord_centroid_lat,existing_club_coord_centroid_lon,existing_coordinate_basis_values,untrusted_coordinate_basis_values,existing_coordinate_sources,existing_coordinate_source_urls,data_quality_flags,review_priority,latitude,longitude,geocode_source,geocode_source_url,match_confidence,review_status,review_notes,input_city_lookup_encoding,input_club_baseline_encoding,input_legacy_hybrid_encoding
saudi-arabia__abha__4826cb91,Saudi Arabia,Abha,"Abha, Saudi Arabia",1,1,1,c_abha_a8d5b324,Abha Club,Saudi First Division League,Prince Sultan bin Abdulaziz Sports City Stadium,"Prince Sultan bin Abdulaziz Sports City Stadium, Abha, Saudi Arabia","Abha Club, Abha, Saudi Arabia","Abha, Saudi Arabia","Prince Sultan bin Abdulaziz Sports City Stadium, Abha, Saudi Arabia","Abha Club, Abha, Saudi Arabia",0,0,,,,,wikidata_step6,,,medium,18.21639,42.50528,geonames_searchJSON,https://www.geonames.org/110690,high,ready_for_geocoding_no_local_hints,GeoNames name_equals match; selected 'Abha'; admin 'عسير'; feature PPLA; population 210886; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.,utf-8-sig,latin-1,utf-8-sig
italy__milan__c8407de8,Italy,Milan,"Milan, Italy",2,2,2,c_ac_milan_118eeb6e | c_inter_milan_ec07dd66,AC Milan | Inter Milan,Serie A,Giuseppe Meazza Stadium,"Giuseppe Meazza Stadium, Milan, Italy","AC Milan, Milan, Italy","Milan, Italy","Giuseppe Meazza Stadium, Milan, Italy","AC Milan, Milan, Italy | Inter Milan, Milan, Italy",2,2,45.47805556,9.12388889,wikidata_home_venue_P115_to_stadium_P625,,wikidata_step6,https://www.wikidata.org/wiki/Q133566,multiple_clubs_same_city_country,medium,45.46427,9.18951,geonames_searchJSON,https://www.geonames.org/3173435,high,ready_for_geocoding_with_local_hints,GeoNames name_equals match; selected 'Milan'; admin 'Lombardia'; feature PPLA; population 1371498; 5.3 km from trusted local centroid; top-vs-next score margin 62.7; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.,utf-8-sig,latin-1,utf-8-sig
ghana__accra__500f1052,Ghana,Accra,"Accra, Ghana",1,1,1,c_accra_hearts_of_oak_sc_5dd04a93,Accra Hearts of Oak S.C.,Ghana Premier League,Accra Sports Stadium,"Accra Sports Stadium, Accra, Ghana","Accra Hearts of Oak S.C., Accra, Ghana",,,,1,1,5.5516,-0.19184,wikidata_home_venue_P115_to_stadium_P625,,wikidata_step6,https://www.wikidata.org/wiki/Q339568,,medium,5.55602,-0.1969,geonames_searchJSON,https://www.geonames.org/2306104,high,ready_for_geocoding_with_local_hints,GeoNames name_equals match; selected 'Accra'; admin 'Greater Accra'; feature PPLC; population 1963264; 0.7 km from trusted local centroid; top-vs-next score margin 104.0; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.,utf-8-sig,latin-1,utf-8-sig
greece__nikaia__93de8026,Greece,Nikaia,"Nikaia, Greece",1,1,1,c_ae_kifisias_b52d38fc,A.E. Kifisia F.C.,Super League Greece,Neapoli Stadium,"Neapoli Stadium, Nikaia, Greece","A.E. Kifisia F.C., Nikaia, Greece","Nikaia, Greece","Neapoli Stadium, Nikaia, Greece","AE Kifisias, Nikaia, Greece",0,0,,,,,wikidata_step6,,,medium,37.96667,23.65,geonames_searchJSON,https://www.geonames.org/256429,medium,ready_for_geocoding_no_local_hints,GeoNames name_equals match; selected 'Níkaia'; admin 'Αττική'; feature PPLA3; population 89380; top-vs-next score margin 4.3; spot-check recommended before promoting to final club coordinates; HTTP fallback was used because the GeoNames HTTPS certificate failed verification. NOTE: Verified.,utf-8-sig,latin-1,utf-8-sig
greece__nea-filadelfeia__e7977283,Greece,Nea Filadelfeia,"Nea Filadelfeia, Greece",1,1,1,c_aek_athens_72925ed6,AEK Athens,Super League Greece,Agia Sophia Stadium,"Agia Sophia Stadium, Nea Filadelfeia, Greece","AEK Athens, Nea Filadelfeia, Greece",,,,1,1,38.03715,23.74154,wikidata_home_venue_P115_to_stadium_P625,,wikidata_step6,https://www.wikidata.org/wiki/Q15284032,,medium,38.03491,23.73811,geonames_searchJSON,https://www.geonames.org/256621,high,ready_for_geocoding_with_local_hints,GeoNames name_equals match; selected 'Néa Filadélfeia'; admin 'Αττική'; feature PPLA3; population 25734; 0.4 km from trusted local centroid; top-vs-next score margin 86.3; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.,utf-8-sig,latin-1,utf-8-sig
greece__larissa__a035c8e4,Greece,Larissa,"Larissa, Greece",1,1,1,c_ael_431116e5,Athlitiki Enosi Larissa F.C.,Super League Greece 2,AEL FC Arena,"AEL FC Arena, Larissa, Greece","Athlitiki Enosi Larissa F.C., Larissa, Greece","Larissa, Greece","AEL FC Arena, Larissa, Greece","AEL, Larissa, Greece",0,0,,,,,wikidata_step6,,,medium,39.62847,22.42112,geonames_searchJSON,https://www.geonames.org/258576,low,ready_for_geocoding_no_local_hints,GeoNames name_equals match; selected 'Lárisa'; admin 'Θεσσαλία'; feature PPLA; population 146926; spot-check recommended before promoting to final club coordinates; HTTP fallback was used because the GeoNames HTTPS certificate failed verification. NOTE: Verified.,utf-8-sig,latin-1,utf-8-sig
cyprus__kolossi__faffbad3,Cyprus,Kolossi,"Kolossi, Cyprus",3,3,3,c_ael_limassol_2cf0940b | c_apollon_limassol_b6137677 | c_aris_limassol_d501bdb4,AEL Limassol | Apollon Limassol FC | Aris Limassol FC,Cypriot First Division,Alphamega Stadium,"Alphamega Stadium, Kolossi, Cyprus","AEL Limassol, Kolossi, Cyprus","Kolossi, Cyprus","Alphamega Stadium, Kolossi, Cyprus | Limassol Arena, Kolossi, Cyprus","AEL Limassol, Kolossi, Cyprus | Apollon Limassol, Kolossi, Cyprus | Aris Limassol, Kolossi, Cyprus",3,3,34.693194,32.939278,wikidata_home_venue_P115_to_stadium_P625,,wikidata_step6,https://www.wikidata.org/wiki/Q60417957,multiple_clubs_same_city_country,medium,34.66865,32.93375,geonames_searchJSON,https://www.geonames.org/146451,high,ready_for_geocoding_with_local_hints,GeoNames name_equals match; selected 'Kolossi'; admin 'Επαρχία Λάρνακας'; feature PPL; population 6478; 2.8 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.,utf-8-sig,latin-1,utf-8-sig
england__bournemouth__76f7ee7d,England,Bournemouth,"Bournemouth, England",1,1,1,c_afc_bournemouth_61e18bcd,AFC Bournemouth,Premier League,Dean Court,"Dean Court, Bournemouth, England","AFC Bournemouth, Bournemouth, England",,,,1,1,50.735278,-1.838333,wikidata_home_venue_P115_to_stadium_P625,,wikidata_step6,https://www.wikidata.org/wiki/Q619094,,medium,50.72048,-1.8795,geonames_searchJSON,https://www.geonames.org/2655095,high,ready_for_geocoding_with_local_hints,GeoNames name_equals match; selected 'Bournemouth'; admin 'England'; feature PPLA2; population 163600; 3.3 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.,utf-8-sig,latin-1,utf-8-sig
denmark__aarhus__55d77285,Denmark,Aarhus,"Aarhus, Denmark",1,1,1,c_agf_aarhus_255f8d4c,Aarhus Gymnastikforening,Danish Superliga,Vejlby Stadium,"Vejlby Stadium, Aarhus, Denmark","Aarhus Gymnastikforening, Aarhus, Denmark",,,,1,1,56.131944,10.196389,wikidata_home_venue_P115_to_stadium_P625,,wikidata_step6,https://www.wikidata.org/wiki/Q1961383,,medium,56.15674,10.21076,geonames_searchJSON,https://www.geonames.org/2624652,high,ready_for_geocoding_with_local_hints,GeoNames name_equals match; selected 'Århus'; admin 'Region Midtjylland'; feature PPLA2; population 285273; 2.9 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.,utf-8-sig,latin-1,utf-8-sig
uzbekistan__olmaliq__0a56ab9d,Uzbekistan,Olmaliq,"Olmaliq, Uzbekistan",1,1,1,c_agmk_a616cb6f,AGMK,Uzbekistan Super League,AGMK Stadium,"AGMK Stadium, Olmaliq, Uzbekistan","AGMK, Olmaliq, Uzbekistan",,,,1,1,40.845429,69.600019,wikidata_home_venue_P115_to_stadium_P625,,wikidata_step6,https://www.wikidata.org/wiki/Q5927465,,medium,40.84472,69.59833,geonames_searchJSON,https://www.geonames.org/1513064,high,ready_for_geocoding_with_local_hints,GeoNames name_equals match; selected 'Olmaliq'; admin 'Toshkent viloyati'; feature PPL; population 133400; 0.2 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.,utf-8-sig,latin-1,utf-8-sig
