club_id,club_name,club_name_ascii,league,country,city,stadium,wikipedia_url,wikidata_url,match_status,review_status,player_count,current_club_lat,current_club_lon,wikipedia_page_title,search_query_stadium,search_query_club,geonames_city_query,resolution_priority,wikipedia_lat,wikipedia_lon,wikipedia_source_url,overpass_lat,overpass_lon,overpass_source_url,geonames_lat,geonames_lon,geonames_source_url,recommended_lat,recommended_lon,recommended_source,recommended_source_url,recommended_coordinate_basis,conflict_distance_km,resolver_status,official_source_fallback_needed,manual_review_reason
c_abha_a8d5b324,Abha Club,Abha Club,Saudi First Division League,Saudi Arabia,Abha,Prince Sultan bin Abdulaziz Sports City Stadium,https://en.wikipedia.org/wiki/Abha_Club_(women),https://www.wikidata.org/wiki/Q126367318,candidate_no_coordinates,manual_club_metadata_reviewed_triage,1,,,Abha Club (women),"Prince Sultan bin Abdulaziz Sports City Stadium, Abha, Saudi Arabia","Abha Club, Abha, Saudi Arabia","Abha, Saudi Arabia",missing_coordinates,,,,,,,,,,,,,,,,unresolved,TRUE,"GeoNames error: HTTPSConnectionPool(host='api.geonames.org', port=443): Max retries exceeded with url: /searchJSON?q=Abha&country=&maxRows=1&style=FULL&username=torqueda (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'api.geonames.org'. (_ssl.c:1081)"")))"
c_ac_milan_118eeb6e,AC Milan,AC Milan,Serie A,Italy,Milan,Giuseppe Meazza Stadium,https://en.wikipedia.org/wiki/AC_Milan,https://www.wikidata.org/wiki/Q1543,candidate_stadium_coords_needs_spotcheck,manual_club_metadata_reviewed_triage,10,45.47805556,9.123888888,AC Milan,"Giuseppe Meazza Stadium, Milan, Italy","AC Milan, Milan, Italy","Milan, Italy",manual_triage_followup,,,,,,,,,,,,,,,,unresolved,TRUE,"GeoNames error: HTTPSConnectionPool(host='api.geonames.org', port=443): Max retries exceeded with url: /searchJSON?q=Milan&country=&maxRows=1&style=FULL&username=torqueda (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'api.geonames.org'. (_ssl.c:1081)"")))"
c_ae_kifisias_b52d38fc,AE Kifisias,AE Kifisias,Super League Greece,Greece,Nikaia,Neapoli Stadium,,,no_wikidata_candidates_found,manual_club_metadata_reviewed_triage,1,,,,"Neapoli Stadium, Nikaia, Greece","AE Kifisias, Nikaia, Greece","Nikaia, Greece",missing_coordinates,,,,,,,,,,,,,,,,unresolved,TRUE,"Overpass error: HTTPSConnectionPool(host='overpass-api.de', port=443): Read timed out. (read timeout=60); GeoNames error: HTTPSConnectionPool(host='api.geonames.org', port=443): Max retries exceeded with url: /searchJSON?q=Nikaia&country=&maxRows=1&style=FULL&username=torqueda (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'api.geonames.org'. (_ssl.c:1081)"")))"
c_ael_431116e5,AEL,AEL,Super League Greece 2,Greece,Larissa,AEL FC Arena,https://en.wikipedia.org/wiki/Aeletes,https://www.wikidata.org/wiki/Q14880740,needs_manual_match_review,manual_club_metadata_reviewed_triage,2,,,Aeletes,"AEL FC Arena, Larissa, Greece","AEL, Larissa, Greece","Larissa, Greece",missing_coordinates,,,,,,,,,,,,,,,,unresolved,TRUE,"GeoNames error: HTTPSConnectionPool(host='api.geonames.org', port=443): Max retries exceeded with url: /searchJSON?q=Larissa&country=&maxRows=1&style=FULL&username=torqueda (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'api.geonames.org'. (_ssl.c:1081)"")))"
c_ael_limassol_2cf0940b,AEL Limassol,AEL Limassol,Cypriot First Division,Cyprus,Kolossi,Limassol Arena,https://en.wikipedia.org/wiki/AEL_Limassol,https://www.wikidata.org/wiki/Q291471,candidate_stadium_coords_needs_spotcheck,manual_club_metadata_reviewed_triage,2,34.693194,32.939278,AEL Limassol,"Limassol Arena, Kolossi, Cyprus","AEL Limassol, Kolossi, Cyprus","Kolossi, Cyprus",manual_triage_followup,,,,,,,,,,,,,,,,unresolved,TRUE,"Overpass error: HTTPSConnectionPool(host='overpass-api.de', port=443): Read timed out. (read timeout=60); GeoNames error: HTTPSConnectionPool(host='api.geonames.org', port=443): Max retries exceeded with url: /searchJSON?q=Kolossi&country=&maxRows=1&style=FULL&username=torqueda (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'api.geonames.org'. (_ssl.c:1081)"")))"
c_aik_9fa4ead4,AIK,AIK,Allsvenskan,Sweden,Stockholm,Nationalarenan,https://en.wikipedia.org/wiki/AIK,https://www.wikidata.org/wiki/Q2363882,candidate_no_coordinates,manual_club_metadata_reviewed_triage,1,,,AIK,"Nationalarenan, Stockholm, Sweden","AIK, Stockholm, Sweden","Stockholm, Sweden",missing_coordinates,,,,,,,,,,,,,,,,unresolved,TRUE,"GeoNames error: HTTPSConnectionPool(host='api.geonames.org', port=443): Max retries exceeded with url: /searchJSON?q=Stockholm&country=&maxRows=1&style=FULL&username=torqueda (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'api.geonames.org'. (_ssl.c:1081)"")))"
c_aj_auxerre_5c7942ef,AJ Auxerre,AJ Auxerre,Ligue 1,France,Auxerre,Stade de l'Abb-Deschamps,https://en.wikipedia.org/wiki/AJ_Auxerre,https://www.wikidata.org/wiki/Q182876,candidate_stadium_coords_needs_spotcheck,manual_club_metadata_reviewed_triage,5,47.78672,3.58871,AJ Auxerre,"Stade de l'Abb-Deschamps, Auxerre, France","AJ Auxerre, Auxerre, France","Auxerre, France",manual_triage_followup,,,,,,,,,,,,,,,,unresolved,TRUE,"Overpass error: HTTPSConnectionPool(host='overpass-api.de', port=443): Read timed out. (read timeout=60); GeoNames error: HTTPSConnectionPool(host='api.geonames.org', port=443): Max retries exceeded with url: /searchJSON?q=Auxerre&country=&maxRows=1&style=FULL&username=torqueda (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'api.geonames.org'. (_ssl.c:1081)"")))"
c_ajax_955fab76,Ajax,Ajax,Eredivisie,Netherlands,Amsterdam,Johan Cruyff Arena,https://en.wikipedia.org/wiki/AJAX_Football_Club,https://www.wikidata.org/wiki/Q4652033,candidate_no_coordinates,manual_club_metadata_reviewed_triage,4,,,AJAX Football Club,"Johan Cruyff Arena, Amsterdam, Netherlands","Ajax, Amsterdam, Netherlands","Amsterdam, Netherlands",missing_coordinates,,,,,,,,,,,,,,,,unresolved,TRUE,"GeoNames error: HTTPSConnectionPool(host='api.geonames.org', port=443): Max retries exceeded with url: /searchJSON?q=Amsterdam&country=&maxRows=1&style=FULL&username=torqueda (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'api.geonames.org'. (_ssl.c:1081)"")))"
c_al_ahly_d8f224e8,Al Ahly SC,Al Ahly SC,Egyptian Premier League,Egypt,Cairo,Al Salam Stadium,https://en.wikipedia.org/wiki/Al_Ahly_SC,https://www.wikidata.org/wiki/Q223566,candidate_stadium_coords_needs_spotcheck,manual_club_metadata_reviewed_triage,9,30.1745,31.435,Al Ahly SC,"Al Salam Stadium, Cairo, Egypt","Al Ahly SC, Cairo, Egypt","Cairo, Egypt",manual_triage_followup,,,,,,,,,,,,,,,,unresolved,TRUE,"Overpass error: HTTPSConnectionPool(host='overpass-api.de', port=443): Read timed out. (read timeout=60); GeoNames error: HTTPSConnectionPool(host='api.geonames.org', port=443): Max retries exceeded with url: /searchJSON?q=Cairo&country=&maxRows=1&style=FULL&username=torqueda (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'api.geonames.org'. (_ssl.c:1081)"")))"
c_al_ain_c5137584,Al Ain FC,Al Ain FC,UAE Pro League,United Arab Emirates,Al Ain,Hazza bin Zayed Stadium,https://en.wikipedia.org/wiki/Al_Ain_FC,https://www.wikidata.org/wiki/Q812720,candidate_stadium_coords_needs_spotcheck,manual_club_metadata_reviewed_triage,3,24.2456,55.7166,Al Ain FC,"Hazza bin Zayed Stadium, Al Ain, United Arab Emirates","Al Ain FC, Al Ain, United Arab Emirates","Al Ain, United Arab Emirates",manual_triage_followup,,,,,,,,,,,,,,,,unresolved,TRUE,"Overpass error: HTTPSConnectionPool(host='overpass-api.de', port=443): Read timed out. (read timeout=60); GeoNames error: HTTPSConnectionPool(host='api.geonames.org', port=443): Max retries exceeded with url: /searchJSON?q=Al+Ain&country=&maxRows=1&style=FULL&username=torqueda (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'api.geonames.org'. (_ssl.c:1081)"")))"
