club_id,club_name,club_name_ascii,qid,search_query,search_rank,search_label,search_description,wikidata_id,detail_status,wikidata_url,wikidata_label,wikidata_description,instance_of,country,league,stadium_wikidata_id,stadium,city,stadium_lat,stadium_lon,club_lat,club_lon,wikipedia_url,candidate_score
c_abha_a8d5b324,Abha Club,Abha Club,Q126367318,Abha Club,1,Abha Club,"women's football club from Abha, Saudi Arabia",Q126367318,ok,https://www.wikidata.org/wiki/Q126367318,Abha Club,"women's football club from Abha, Saudi Arabia",association football club,,,,,,,,,,https://en.wikipedia.org/wiki/Abha_Club_(women),100
c_abha_a8d5b324,Abha Club,Abha Club,Q2620016,Abha Club,2,Abha,association football club in Saudia,Q2620016,ok,https://www.wikidata.org/wiki/Q2620016,Abha,association football club in Saudia,association football club,Saudi Arabia,Saudi First Division League,Q4120210,Prince Mohammed bin Abdul Aziz Stadium,Medina,18.223043,42.490069,,,https://en.wikipedia.org/wiki/Abha_Club,100
c_abha_a8d5b324,Abha Club,Abha Club,Q190948,Abha,1,Abha,city in Saudi Arabia,Q190948,ok,https://www.wikidata.org/wiki/Q190948,Abha,city in Saudi Arabia,big city,Saudi Arabia,,,,,,,18.216666666,42.5,https://en.wikipedia.org/wiki/Abha,69
c_abha_a8d5b324,Abha Club,Abha Club,Q2430160,Abha,5,River Thurso,"river in Highland, Scotland, UK, flows into the North Sea at Thurso Bay",Q2430160,ok,https://www.wikidata.org/wiki/Q2430160,River Thurso,"river in Highland, Scotland, UK, flows into the North Sea at Thurso Bay",river,United Kingdom,,,,,,,58.596951,-3.51329,https://en.wikipedia.org/wiki/River_Thurso,21
c_abha_a8d5b324,Abha Club,Abha Club,Q1603301,Abha,6,River Helmsdale,"river in Highland, Scotland, UK, flows into the Moray Firth at Helmsdale",Q1603301,ok,https://www.wikidata.org/wiki/Q1603301,River Helmsdale,"river in Highland, Scotland, UK, flows into the Moray Firth at Helmsdale",river,United Kingdom,,,,,,,58.114104,-3.648753,https://en.wikipedia.org/wiki/River_Helmsdale,19
c_abha_a8d5b324,Abha Club,Abha Club,Q7337648,Abha,8,River Nairn,"river in Highland, Scotland, UK, flows into the Moray Firth at Nairn",Q7337648,ok,https://www.wikidata.org/wiki/Q7337648,River Nairn,"river in Highland, Scotland, UK, flows into the Moray Firth at Nairn",river,United Kingdom,,,,,,,57.592041,-3.860276,https://en.wikipedia.org/wiki/River_Nairn,18
c_abha_a8d5b324,Abha Club,Abha Club,Q3440681,Abha,9,River Beauly,"river in Highland, Scotland, UK, flows into the Moray Firth",Q3440681,ok,https://www.wikidata.org/wiki/Q3440681,River Beauly,"river in Highland, Scotland, UK, flows into the Moray Firth",river,United Kingdom,,,,,,,57.493507,-4.424114,https://en.wikipedia.org/wiki/River_Beauly,18
c_abha_a8d5b324,Abha Club,Abha Club,Q990659,Abha,10,River Brora,"river in Highland, Scotland, UK, flows into the Moray Firth at Brora",Q990659,ok,https://www.wikidata.org/wiki/Q990659,River Brora,"river in Highland, Scotland, UK, flows into the Moray Firth at Brora",river,United Kingdom,,,,,,,58.010147,-3.846162,https://en.wikipedia.org/wiki/River_Brora,18
c_abha_a8d5b324,Abha Club,Abha Club,Q1364584,Abha,3,River Ness,"river in Highland, Scotland, UK, flows into the mouth of the Beauly Firth at Inverness",Q1364584,ok,https://www.wikidata.org/wiki/Q1364584,River Ness,"river in Highland, Scotland, UK, flows into the mouth of the Beauly Firth at Inverness",river,United Kingdom,,,,,,,57.494025,-4.237136,https://en.wikipedia.org/wiki/River_Ness,17
c_abha_a8d5b324,Abha Club,Abha Club,Q7337683,Abha,4,River Orrin,"river in Highland, Scotland, UK, tributary of the River Conon",Q7337683,ok,https://www.wikidata.org/wiki/Q7337683,River Orrin,"river in Highland, Scotland, UK, tributary of the River Conon",river,United Kingdom,,,,,,,57.549238,-4.491334,https://en.wikipedia.org/wiki/River_Orrin,16
c_abha_a8d5b324,Abha Club,Abha Club,Q471542,Abha,7,Kishore Kumar,Indian singer and actor (1929–1987),Q471542,ok,https://www.wikidata.org/wiki/Q471542,Kishore Kumar,Indian singer and actor (1929–1987),human,,,,,,,,,,https://en.wikipedia.org/wiki/Kishore_Kumar,0
c_ac_milan_118eeb6e,AC Milan,AC Milan,Q1543,AC Milan,1,AC Milan,"football club in Milan, Italy",Q1543,ok,https://www.wikidata.org/wiki/Q1543,AC Milan,"football club in Milan, Italy",association football club,Italy,Q15804,Q133566,Giuseppe Meazza Stadium,Milan,45.478055555,9.123888888,,,https://en.wikipedia.org/wiki/AC_Milan,100
c_ac_milan_118eeb6e,AC Milan,AC Milan,Q55602896,AC Milan,2,A.C. Milan,women's section of Italian association football club based in Milan,Q55602896,ok,https://www.wikidata.org/wiki/Q55602896,A.C. Milan,women's section of Italian association football club based in Milan,women's association football club,Italy,Serie A,,,,,,,,https://en.wikipedia.org/wiki/AC_Milan_Women,100
c_ac_milan_118eeb6e,AC Milan,AC Milan,Q16873817,Milan,3,Milan,family name,Q16873817,ok,https://www.wikidata.org/wiki/Q16873817,Milan,family name,family name,,,,,,,,,,https://en.wikipedia.org/wiki/Milan_(surname),80
c_ac_milan_118eeb6e,AC Milan,AC Milan,Q41533630,Milan,7,Milán,family name,Q41533630,ok,https://www.wikidata.org/wiki/Q41533630,Milán,family name,family name,,,,,,,,,,,71
c_ac_milan_118eeb6e,AC Milan,AC Milan,Q126923253,AC Milan,6,Milan Futuro,reserve team of Serie A club AC Milan,Q126923253,ok,https://www.wikidata.org/wiki/Q126923253,Milan Futuro,reserve team of Serie A club AC Milan,association football club,Italy,Serie C,,,,,,,,https://en.wikipedia.org/wiki/Milan_Futuro,70
c_ac_milan_118eeb6e,AC Milan,AC Milan,Q490,Milan,1,Milan,Italian commune and capital city of Lombardy,Q490,ok,https://www.wikidata.org/wiki/Q490,Milan,Italian commune and capital city of Lombardy,city,Italy,,,,,,,45.466944444,9.19,https://en.wikipedia.org/wiki/Milan,69
c_ac_milan_118eeb6e,AC Milan,AC Milan,Q1645063,Milan,4,Milan,"village in Erie and Huron Counties, Ohio, USA",Q1645063,ok,https://www.wikidata.org/wiki/Q1645063,Milan,"village in Erie and Huron Counties, Ohio, USA",village of Ohio,United States,,,,,,,41.29306,-82.60111,"https://en.wikipedia.org/wiki/Milan,_Ohio",66
c_ac_milan_118eeb6e,AC Milan,AC Milan,Q1076681,Milan,2,Milan,male given name,Q1076681,ok,https://www.wikidata.org/wiki/Q1076681,Milan,male given name,unisex given name,,,,,,,,,,https://en.wikipedia.org/wiki/Milan_(given_name),61
