section,line
dataset_manual_changes,Bayern Munich city value changed to Munich.
dataset_manual_changes,Paris Saint-Germain city value changed to Paris.
dataset_manual_changes,"Brighton & Hove Albion stadium changed to Falmer Stadium, city to Brighton and Hove."
dataset_manual_changes,Al Qadsiah stadium changed to Prince Saud bin Jalawi Sports City Stadium.
dataset_manual_changes,Al Ittihad stadium changed to King Abdullah Sports City Stadium.
dataset_manual_changes,"Al-Faisaly country changed to Jordan, league to Jordanian Pro League, city to Amman, stadium to Amman International Stadium."
dataset_manual_changes,Melbourne City city changed to Melbourne.
dataset_manual_changes,Orlando City city changed to Orlando
dataset_manual_changes,"Sparta Prague stadium changed to Stadion Letná, city to Prague."
dataset_manual_changes,Wellington Phoenix city changed to Wellington.
dataset_manual_changes,"Cerro Porteño changed to Cerro Porteño, stadium league changed to Primera División de Paraguay, city changed to Asunción."
dataset_manual_changes,"Győri ETO changed to Győri ETO, city to Győr."
dataset_manual_changes,"Osasuna league changed to La Liga, stadium to El Sadar Stadium, city to Pamplona."
dataset_manual_changes,"Ajax country changed to Netherlands, league to Eredivisie, city to Amsterdam, stadium to Johan Cruyff Arena."
dataset_manual_changes,"Al Bataeh league changed to UAE Pro League, city to Al Bataeh, stadium to Al Bataeh Stadium."
dataset_manual_changes,Al Hilal stadium changed to Kingdom Arena.
dataset_manual_changes,"Al Ula league changed to Saudi First Division League, city to Medina, stadium to Prince Mohammed bin Abdulaziz Stadium."
dataset_manual_changes,Al-Hussein league changed to Jordanian Pro League.
dataset_manual_changes,"Al-Riyadh city changed to Riyadh. league to Qatar Stars League, country to Qatar, city to Doha, stadium to Hamad bin Khalifa Stadium."
dataset_manual_changes,Apollon Limassol stadium changed to Alphamega Stadium.
dataset_manual_changes,Aris Limassol stadium changed to Alphamega Stadium.
dataset_manual_changes,Arsenal city changed to London.
dataset_manual_changes,Athletic Club stadium changed to San Mamés Stadium.
dataset_manual_changes,Atromitos city changed to Peristeri.
dataset_manual_changes,"Benfica league changed to Primeira Liga, city to Lisbon, stadium to Estádio da Luz."
dataset_manual_changes,"Beveren league changed to Belgian Pro League, country to Belgium, city to Beveren, stadium to Freethiel Stadion."
dataset_manual_changes,Birmingham City country changed to England.
dataset_manual_changes,Botafogo stadium changed to Estádio Olímpico Nilton Santos.
dataset_manual_changes,"Casa Pia league changed to Primeira Liga, city to Lisbon, stadium to Estádio Pina Manique."
dataset_manual_changes,"Castellón name changed to Castellón, league to Segunda División, city to Castellón de la Plana, stadium to Nou Estadi Castàlia."
dataset_manual_changes,Celta Vigo stadium changed to Balaídos Stadium.
dataset_manual_changes,"Celtic country changed to Scotland, city to Glasgow."
dataset_manual_changes,"Charleroi league changed to Belgian Pro League, country to Belgium, city to Charleroi, stadium to Stade du Pays de Charleroi."
dataset_manual_changes,"Charlton Athletic country changed to England, city to London."
dataset_manual_changes,"Chaves league changed to Liga Portugal 2, country to Portugal, city to Chaves, stadium to Estádio Municipal Eng. Manuel Branco Teixeira."
dataset_manual_changes,"Chelsea country changed to England, city to London."
dataset_manual_changes,"Copenhagen league changed to Danish Superliga, country to Denmark, city to Copenhagen, stadium to Parken Stadium."
dataset_manual_changes,"Corinthians city changed to São Paulo, stadium to Arena Corinthians."
dataset_manual_changes,"Cosmos Koblenz league changed to Oberliga Rheinland-Pfalz/Saar, country to Germany, city to Koblenz, stadium to Stadion Oberwerth."
dataset_manual_changes,"Cracovia city changed to Kraków, stadium to Józef Piłsudski Cracovia Stadium."
dataset_manual_changes,"Cultural Leonesa league changed to Primera Federación, city to León, stadium to Estadio Reino de León."
dataset_manual_changes,"Den Bosch league changed to Eerste Divisie, country to Netherlands, city to Den Bosch, stadium to De Vliert."
dataset_manual_changes,"Dynamo Makhachkala league changed to Russian Premier League, country to Russia, city to Kaspiysk, stadium to Anzhi Arena."
dataset_manual_changes,"Dynamo Moscow league changed to Russian Premier League, city to Moscow, stadium to VTB Arena."
dataset_manual_changes,"Espanyol league changed to La Liga, city to Cornellà de Llobregat, stadium to RCDE Stadium."
dataset_manual_changes,Esteghlal city changed to Tehran.
dataset_manual_changes,Estudiantes de La Plata city changed to La Plata.
dataset_manual_changes,"FC Nordsj√¶lland name changed to FC Nordsjælland, city to Farum."
dataset_manual_changes,"Fenerbahce city changed to Kadıköy, stadium to Şükrü Saracoğlu Stadium."
dataset_manual_changes,"Ferencvaáros name changed to Ferencváros, stadium to Ferencváros Stadion."
dataset_manual_changes,"Flamengo city changed to Rio de Janeiro, stadium to Maracanã Stadium."
