club_id,wikidata_id,club_name,club_name_ascii,country,league,city,stadium,club_lat,club_lon,club_source_url,geo_source,manual_review_flag,notes,Unnamed: 14,Unnamed: 15,Unnamed: 16,player_count
c_abha_a8d5b324,,Abha Club,Abha Club,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_ac_milan_118eeb6e,,AC Milan,AC Milan,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,10
c_accra_hearts_of_oak_sc_5dd04a93,,Accra Hearts of Oak S.C.,Accra Hearts of Oak S.C.,,,,,,,,,False,Step 5 manual review canonical rename from 'Accra Hearts of Oak SC' to 'Accra Hearts of Oak S.C.'. Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_ae_kifisias_b52d38fc,,AE Kifisias,AE Kifisias,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,NOTE:,Normalize clubs into this table and link players to club_id.,1
c_aek_athens_72925ed6,,AEK Athens,AEK Athens,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_ael_431116e5,,AEL,AEL,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,2
c_ael_limassol_2cf0940b,,AEL Limassol,AEL Limassol,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,2
c_afc_bournemouth_61e18bcd,,AFC Bournemouth,AFC Bournemouth,,,,,,,,,False,Merged aliases/source variants: AFC Bournemouth; Bournemouth. Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,5
c_agf_aarhus_255f8d4c,,AGF Aarhus,AGF Aarhus,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_agmk_a616cb6f,,AGMK,AGMK,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,2
c_aik_9fa4ead4,,AIK,AIK,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_aj_auxerre_5c7942ef,,AJ Auxerre,AJ Auxerre,,,,,,,,,False,Merged aliases/source variants: AJ Auxerre; Auxerre. Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,5
c_ajax_955fab76,,Ajax,Ajax,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,4
c_akron_tolyatti_7891723e,,Akron Tolyatti,Akron Tolyatti,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_al_ahly_d8f224e8,,Al Ahly SC,Al Ahly SC,,,,,,,,,False,Step 5 manual review canonical rename from 'Al Ahly' to 'Al Ahly SC'. Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,9
c_al_ain_c5137584,,Al Ain FC,Al Ain FC,,,,,,,,,False,Step 5 manual review canonical rename from 'Al Ain' to 'Al Ain FC'. Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,3
c_al_bataeh_bbe9608c,,Al Bataeh,Al Bataeh,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,2
c_al_duhail_917aca16,,Al Duhail,Al Duhail,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,7
c_al_ettifaq_807c8264,,Al-Ettifaq Club,Al-Ettifaq Club,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6. Merged Al Etiffaq + Al Ettifaq,,,,2
c_al_gharafa_cf3f2df9,,Al Gharafa,Al Gharafa,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,3
c_al_hilal_67047244,,Al Hilal,Al Hilal,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,11
c_al_ittihad_715274c9,,Al Ittihad,Al Ittihad,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,4
c_al_jazira_3cf19a97,,Al Jazira,Al Jazira,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_al_qadsiah_2c418904,,Al Qadsiah,Al Qadsiah,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,6
c_al_rayyan_e5871040,,Al Rayyan,Al Rayyan,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,4
c_al_sadd_a599a00e,,Al Sadd,Al Sadd,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,5
c_al_shabab_e27f5149,,Al Shabab Club,Al Shabab Club,,,,,,,,,False,Step 5 manual review canonical rename from 'Al-Shabab' to 'Al Shabab Club'. Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_al_ula_28613b64,,Al Ula,Al Ula,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_al_wahda_7ae987ab,,Al Wahda FC,Al Wahda FC,,,,,,,,,False,Step 5 manual review canonical rename from 'Al-Wahda' to 'Al Wahda FC'. Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_al_wakrah_abf60aa2,,Al Wakrah,Al Wakrah,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,4
c_al_ahli_c686fb82,,Al-Ahli Saudi FC,Al-Ahli Saudi FC,,,,,,,,,False,Step 5 manual review canonical rename from 'Al Ahli' to 'Al-Ahli Saudi FC'. Merged aliases/source variants: Al Ahli; Al-Ahli. Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,9
c_al_arabi_aed4b46c,,Al-Arabi SC (Qatar),Al-Arabi SC (Qatar),,,,,,,,,False,Step 5 manual review canonical rename from 'Al Arabi' to 'Al-Arabi SC (Qatar)'. Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,3
c_al_faisaly_d08621cd,,Al-Faisaly,Al-Faisaly,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,3
c_al_fayha_22bab1f3,,Al-Fayha Club,Al-Fayha Club,,,,,,,,,False,Step 5 manual review canonical rename from 'Al Fayha' to 'Al-Fayha Club'. Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_al_hussein_1fe1435d,,Al-Hussein,Al-Hussein,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,6
c_al_karma_f9b63d11,,Al-Karma SC,Al-Karma SC,,,,,,,,,False,Step 5 manual correction: Aymen Hussein reassigned from source-listed Al-Khor to Al-Karma SC. Step 5 manual review canonical rename from 'Al-Karma' to 'Al-Karma SC'. Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,3
c_al_najma_9b74810f,,Al-Najma SC (Saudi Arabia),Al-Najma SC (Saudi Arabia),,,,,,,,,False,Step 5 manual review canonical rename from 'Al Najma' to 'Al-Najma SC (Saudi Arabia)'. Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_al_nasr_0bf2f525,,Al-Nasr SC (Dubai),Al-Nasr SC (Dubai),,,,,,,,,False,Step 5 manual review canonical rename from 'Al-Nasr' to 'Al-Nasr SC (Dubai)'. Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_al_nassr_4ed92392,,Al-Nassr FC,Al-Nassr FC,,,,,,,,,False,Step 5 manual review canonical rename from 'Al Nassr' to 'Al-Nassr FC'. Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,10
c_al_quwa_al_jawiya_d23a171e,,Al-Quwa Al-Jawiya,Al-Quwa Al-Jawiya,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
