club_id,wikidata_id,club_name,club_name_ascii,country,league,city,stadium,club_lat,club_lon,club_source_url,geo_source,manual_review_flag,notes,Unnamed: 14,Unnamed: 15,Unnamed: 16,player_count,candidate_score,search_query,search_rank,search_label,search_description,wikidata_url,wikidata_label,wikidata_description,instance_of,stadium_wikidata_id,stadium_lat,stadium_lon,wikipedia_url,detail_status,match_status,review_reason,coordinate_basis,geo_source_url,proposed_club_lat,proposed_club_lon,approved_wikidata_id,approved_stadium,approved_lat,approved_lon,approved_geo_source_url,manual_notes
c_abha_a8d5b324,Q126367318,Abha Club,Abha Club,,,,,,,,,TRUE,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1,100,Abha Club,1,Abha Club,"women's football club from Abha, Saudi Arabia",https://www.wikidata.org/wiki/Q126367318,Abha Club,"women's football club from Abha, Saudi Arabia",association football club,,,,https://en.wikipedia.org/wiki/Abha_Club_(women),ok,candidate_no_coordinates,"Candidate found, but no usable stadium or club coordinates were found.",,,,,,,,,,
c_ac_milan_118eeb6e,Q1543,AC Milan,AC Milan,Italy,Q15804,Milan,Giuseppe Meazza Stadium,,,,,TRUE,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,10,100,AC Milan,1,AC Milan,"football club in Milan, Italy",https://www.wikidata.org/wiki/Q1543,AC Milan,"football club in Milan, Italy",association football club,Q133566,45.478055555,9.123888888,https://en.wikipedia.org/wiki/AC_Milan,ok,candidate_stadium_coords_needs_spotcheck,"Good candidate with stadium coordinates, but ambiguity threshold was not fully met.",wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q133566,45.478055555,9.123888888,,,,,,
c_accra_hearts_of_oak_sc_5dd04a93,Q339560,Accra Hearts of Oak S.C.,Accra Hearts of Oak S.C.,Ghana,Ghana Premier League,Korle-Klottey Municipal District,Accra Sports Stadium,,,,,FALSE,Step 5 manual review canonical rename from 'Accra Hearts of Oak SC' to 'Accra Hearts of Oak S.C.'. Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1,100,Accra Hearts of Oak S.C,1,Accra Hearts of Oak SC,"association football club in Accra, Ghana",https://www.wikidata.org/wiki/Q339560,Accra Hearts of Oak SC,"association football club in Accra, Ghana",association football club,Q339568,5.5516,-0.19184,https://en.wikipedia.org/wiki/Accra_Hearts_of_Oak_S.C.,ok,auto_candidate_high_stadium_coords,,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q339568,5.5516,-0.19184,,,,,,
c_ae_kifisias_b52d38fc,,AE Kifisias,AE Kifisias,,,,,,,,,TRUE,Wikidata/league/city/stadium pending Step 5b/Step 6.,,NOTE:,Normalize clubs into this table and link players to club_id.,1,,,,,,,,,,,,,,,no_wikidata_candidates_found,No Wikidata candidates returned from search variants. Manual match required.,,,,,,,,,,
c_aek_athens_72925ed6,Q201584,AEK Athens,AEK Athens,Greece,Super League Greece,Nea Filadelfeia-Nea Chalkidona Municipality,Agia Sophia Stadium,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1,100,AEK Athens,1,AEK Athens F.C.,Association football team in Greece,https://www.wikidata.org/wiki/Q201584,AEK Athens F.C.,Association football team in Greece,men's association football team,Q15284032,38.03715,23.74154,https://en.wikipedia.org/wiki/AEK_Athens_F.C.,ok,auto_candidate_high_stadium_coords,,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q15284032,38.03715,23.74154,,,,,,
c_ael_431116e5,Q14880740,AEL,AEL,,,,,,,,,TRUE,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,2,33,AEL,7,Aeletes,genus of insects,https://www.wikidata.org/wiki/Q14880740,Aeletes,genus of insects,taxon,,,,https://en.wikipedia.org/wiki/Aeletes,ok,needs_manual_match_review,Low score or ambiguous candidate set. Manual match required.,,,,,,,,,,
c_ael_limassol_2cf0940b,Q291471,AEL Limassol,AEL Limassol,Cyprus,Cypriot First Division,Kolossi,Limassol Arena,,,,,TRUE,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,2,100,AEL Limassol,1,AEL Limassol FC,professional association football club based in Limassol,https://www.wikidata.org/wiki/Q291471,AEL Limassol FC,professional association football club based in Limassol,association football club,Q60417957,34.693194,32.939278,https://en.wikipedia.org/wiki/AEL_Limassol,ok,candidate_stadium_coords_needs_spotcheck,"Good candidate with stadium coordinates, but ambiguity threshold was not fully met.",wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q60417957,34.693194,32.939278,,,,,,
c_afc_bournemouth_61e18bcd,Q19568,AFC Bournemouth,AFC Bournemouth,United Kingdom,Premier League,Bournemouth,Dean Court,,,,,FALSE,Merged aliases/source variants: AFC Bournemouth; Bournemouth. Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,5,100,AFC Bournemouth,1,AFC Bournemouth,"association football club in Bournemouth, England",https://www.wikidata.org/wiki/Q19568,AFC Bournemouth,"association football club in Bournemouth, England",association football club,Q619094,50.735278,-1.838333,https://en.wikipedia.org/wiki/AFC_Bournemouth,ok,auto_candidate_high_stadium_coords,,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q619094,50.735278,-1.838333,,,,,,
c_agf_aarhus_255f8d4c,Q301431,AGF Aarhus,AGF Aarhus,Denmark,Danish Superliga,Aarhus Municipality,Ceres Park & Arena,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1,88,AGF Aarhus,1,Aarhus Gymnastikforening,"association football club in Aarhus, Denmark",https://www.wikidata.org/wiki/Q301431,Aarhus Gymnastikforening,"association football club in Aarhus, Denmark",association football club,Q1961383,56.131944,10.196389,https://en.wikipedia.org/wiki/Aarhus_Gymnastikforening,ok,auto_candidate_high_stadium_coords,,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q1961383,56.131944,10.196389,,,,,,
c_agmk_a616cb6f,Q770528,AGMK,AGMK,Uzbekistan,Uzbekistan Super League,Olmaliq,AGMK Stadium,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,2,100,AGMK,4,FC AGMK,association football club in Uzbekistan,https://www.wikidata.org/wiki/Q770528,FC AGMK,association football club in Uzbekistan,association football club,Q5927465,40.845429,69.600019,https://en.wikipedia.org/wiki/FC_AGMK,ok,auto_candidate_high_stadium_coords,,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q5927465,40.845429,69.600019,,,,,,
