club_id,old_club_name,new_club_name,old_club_name_ascii,new_club_name_ascii,change_type,notes
c_accra_hearts_of_oak_sc_5dd04a93,Accra Hearts of Oak SC,Accra Hearts of Oak S.C.,Accra Hearts of Oak SC,Accra Hearts of Oak S.C.,manual_canonical_rename,Applied from club_review_queue_completed.csv or follow-up Step 5 user notes.
c_al_ahly_d8f224e8,Al Ahly,Al Ahly SC,Al Ahly,Al Ahly SC,manual_canonical_rename,Applied from club_review_queue_completed.csv or follow-up Step 5 user notes.
c_al_ain_c5137584,Al Ain,Al Ain FC,Al Ain,Al Ain FC,manual_canonical_rename,Applied from club_review_queue_completed.csv or follow-up Step 5 user notes.
c_al_shabab_e27f5149,Al-Shabab,Al Shabab Club,Al-Shabab,Al Shabab Club,manual_canonical_rename,Applied from club_review_queue_completed.csv or follow-up Step 5 user notes.
c_al_wahda_7ae987ab,Al-Wahda,Al Wahda FC,Al-Wahda,Al Wahda FC,manual_canonical_rename,Applied from club_review_queue_completed.csv or follow-up Step 5 user notes.
c_al_ahli_c686fb82,Al Ahli,Al-Ahli Saudi FC,Al Ahli,Al-Ahli Saudi FC,manual_canonical_rename,Applied from club_review_queue_completed.csv or follow-up Step 5 user notes.
c_al_arabi_aed4b46c,Al Arabi,Al-Arabi SC (Qatar),Al Arabi,Al-Arabi SC (Qatar),manual_canonical_rename,Applied from club_review_queue_completed.csv or follow-up Step 5 user notes.
c_al_fayha_22bab1f3,Al Fayha,Al-Fayha Club,Al Fayha,Al-Fayha Club,manual_canonical_rename,Applied from club_review_queue_completed.csv or follow-up Step 5 user notes.
c_al_karma_f9b63d11,Al-Karma,Al-Karma SC,Al-Karma,Al-Karma SC,manual_canonical_rename,Applied from club_review_queue_completed.csv or follow-up Step 5 user notes.
c_al_najma_9b74810f,Al Najma,Al-Najma SC (Saudi Arabia),Al Najma,Al-Najma SC (Saudi Arabia),manual_canonical_rename,Applied from club_review_queue_completed.csv or follow-up Step 5 user notes.
c_al_nasr_0bf2f525,Al-Nasr,Al-Nasr SC (Dubai),Al-Nasr,Al-Nasr SC (Dubai),manual_canonical_rename,Applied from club_review_queue_completed.csv or follow-up Step 5 user notes.
c_al_nassr_4ed92392,Al Nassr,Al-Nassr FC,Al Nassr,Al-Nassr FC,manual_canonical_rename,Applied from club_review_queue_completed.csv or follow-up Step 5 user notes.
c_al_shamal_91835f7b,Al Shamal,Al-Shamal SC,Al Shamal,Al-Shamal SC,manual_canonical_rename,Applied from club_review_queue_completed.csv or follow-up Step 5 user notes.
c_al_shorta_03f6bef7,Al-Shorta,Al-Shorta SC,Al-Shorta,Al-Shorta SC,manual_canonical_rename,Applied from club_review_queue_completed.csv or follow-up Step 5 user notes.
c_al_wehdat_2cc29034,Al-Wehdat,Al-Wehdat SC,Al-Wehdat,Al-Wehdat SC,manual_canonical_rename,Applied from club_review_queue_completed.csv or follow-up Step 5 user notes.
c_cercle_brugge_02b4f133,Cercle Brugge,Cercle Brugge KSV,Cercle Brugge,Cercle Brugge KSV,manual_canonical_rename,Applied from club_review_queue_completed.csv or follow-up Step 5 user notes.
c_independiente_4f0bb709,Independiente,Club Atlético Independiente,Independiente,Club Atletico Independiente,manual_canonical_rename,Applied from club_review_queue_completed.csv or follow-up Step 5 user notes.
c_club_brugge_ea2adfc5,Club Brugge,Club Brugge KV,Club Brugge,Club Brugge KV,manual_canonical_rename,Applied from club_review_queue_completed.csv or follow-up Step 5 user notes.
c_nacional_2b4d3a11,Nacional,Club Nacional de Football,Nacional,Club Nacional de Football,manual_canonical_rename,Applied from club_review_queue_completed.csv or follow-up Step 5 user notes.
c_dibba_al_fujairah_06c16d12,Dibba Al Fujairah,Dibba FC,Dibba Al Fujairah,Dibba FC,manual_canonical_rename,Applied from club_review_queue_completed.csv or follow-up Step 5 user notes.
c_barcelona_cb30c55c,Barcelona,FC Barcelona,Barcelona,FC Barcelona,manual_canonical_rename,Applied from club_review_queue_completed.csv or follow-up Step 5 user notes.
c_barcelona_b_ef28ece1,Barcelona B,FC Barcelona Atlètic,Barcelona B,FC Barcelona Atletic,manual_canonical_rename,Applied from club_review_queue_completed.csv or follow-up Step 5 user notes.
c_hearts_422d35b1,Hearts,Heart of Midlothian F.C.,Hearts,Heart of Midlothian F.C.,manual_canonical_rename,Applied from club_review_queue_completed.csv or follow-up Step 5 user notes.
c_rangers_8ee581e0,Rangers,Rangers F.C.,Rangers,Rangers F.C.,manual_canonical_rename,Applied from club_review_queue_completed.csv or follow-up Step 5 user notes.
c_santos_6c3780f0,Santos,Santos FC,Santos,Santos FC,manual_canonical_rename,Applied from club_review_queue_completed.csv or follow-up Step 5 user notes.
c_shabab_al_ahli_7bfa5689,Shabab Al-Ahli,Shabab Al Ahli Club,Shabab Al-Ahli,Shabab Al Ahli Club,manual_canonical_rename,Applied from club_review_queue_completed.csv or follow-up Step 5 user notes.
