raw_club_id,raw_club_name,raw_club_name_ascii,canonical_club_id,canonical_club_name,alias_rule,merge_confidence,player_count_for_raw_club_id,teams_using_raw_club_id,normalization_notes
c_abha_a8d5b324,Abha,Abha,c_abha_a8d5b324,Abha,unchanged,not_applicable,1,Curacao:1,No normalization merge applied.
c_ac_milan_118eeb6e,AC Milan,AC Milan,c_ac_milan_118eeb6e,AC Milan,unchanged,not_applicable,10,Belgium:2; France:2; Mexico:1; Switzerland:1; United States:1; Ecuador:1; Portugal:1; Croatia:1,No normalization merge applied.
c_accra_hearts_of_oak_sc_5dd04a93,Accra Hearts of Oak SC,Accra Hearts of Oak SC,c_accra_hearts_of_oak_sc_5dd04a93,Accra Hearts of Oak SC,unchanged,not_applicable,1,Ghana:1,No normalization merge applied.
c_ae_kifisias_b52d38fc,AE Kifisias,AE Kifisias,c_ae_kifisias_b52d38fc,AE Kifisias,unchanged,not_applicable,1,Ecuador:1,No normalization merge applied.
c_aek_athens_72925ed6,AEK Athens,AEK Athens,c_aek_athens_72925ed6,AEK Athens,unchanged,not_applicable,1,Mexico:1,No normalization merge applied.
c_ael_431116e5,AEL,AEL,c_ael_431116e5,AEL,unchanged,not_applicable,2,Congo DR:2,No normalization merge applied.
c_ael_limassol_2cf0940b,AEL Limassol,AEL Limassol,c_ael_limassol_2cf0940b,AEL Limassol,unchanged,not_applicable,2,Mexico:1; South Africa:1,No normalization merge applied.
c_afc_bournemouth_61e18bcd,AFC Bournemouth,AFC Bournemouth,c_afc_bournemouth_61e18bcd,AFC Bournemouth,auto_merge_curated_alias,high,1,United States:1,Collapsed source variant to canonical club 'AFC Bournemouth'.
c_agf_aarhus_255f8d4c,AGF Aarhus,AGF Aarhus,c_agf_aarhus_255f8d4c,AGF Aarhus,unchanged,not_applicable,1,Iraq:1,No normalization merge applied.
c_agmk_a616cb6f,AGMK,AGMK,c_agmk_a616cb6f,AGMK,unchanged,not_applicable,2,Uzbekistan:2,No normalization merge applied.
c_aik_9fa4ead4,AIK,AIK,c_aik_9fa4ead4,AIK,unchanged,not_applicable,1,Sweden:1,No normalization merge applied.
c_aj_auxerre_5c7942ef,AJ Auxerre,AJ Auxerre,c_aj_auxerre_5c7942ef,AJ Auxerre,auto_merge_curated_alias,high,4,Ghana:3; Ivory Coast:1,Collapsed source variant to canonical club 'AJ Auxerre'.
c_ajax_955fab76,Ajax,Ajax,c_ajax_955fab76,Ajax,unchanged,not_applicable,4,Japan:2; Netherlands:1; Croatia:1,No normalization merge applied.
c_akron_tolyatti_7891723e,Akron Tolyatti,Akron Tolyatti,c_akron_tolyatti_7891723e,Akron Tolyatti,unchanged,not_applicable,1,Cape Verde:1,No normalization merge applied.
c_al_ahli_c686fb82,Al Ahli,Al Ahli,c_al_ahli_c686fb82,Al Ahli,auto_merge_curated_alias,high,7,Saudi Arabia:3; Brazil:1; Ivory Coast:1; Senegal:1; Algeria:1,Collapsed source variant to canonical club 'Al Ahli'.
c_al_ahli_2ee190b5,Al-Ahli,Al-Ahli,c_al_ahli_c686fb82,Al Ahli,auto_merge_curated_alias,high,2,Türkiye:1; England:1,Collapsed source variant to canonical club 'Al Ahli'.
c_al_ahly_d8f224e8,Al Ahly,Al Ahly,c_al_ahly_d8f224e8,Al Ahly,unchanged,not_applicable,9,Egypt:8; Morocco:1,No normalization merge applied.
c_al_ain_c5137584,Al Ain,Al Ain,c_al_ain_c5137584,Al Ain,unchanged,not_applicable,3,Morocco:1; Paraguay:1; Egypt:1,No normalization merge applied.
c_al_arabi_aed4b46c,Al Arabi,Al Arabi,c_al_arabi_aed4b46c,Al Arabi,unchanged,not_applicable,3,Qatar:3,No normalization merge applied.
c_al_bataeh_bbe9608c,Al Bataeh,Al Bataeh,c_al_bataeh_bbe9608c,Al Bataeh,unchanged,not_applicable,2,Cape Verde:1; Uzbekistan:1,No normalization merge applied.
c_al_duhail_917aca16,Al Duhail,Al Duhail,c_al_duhail_917aca16,Al Duhail,unchanged,not_applicable,7,Qatar:6; Algeria:1,No normalization merge applied.
c_al_etiffaq_f2058dce,Al Etiffaq,Al Etiffaq,c_al_ettifaq_807c8264,Al Ettifaq,auto_merge_curated_alias,high,1,Scotland:1,Collapsed source variant to canonical club 'Al Ettifaq'.
c_al_ettifaq_807c8264,Al Ettifaq,Al Ettifaq,c_al_ettifaq_807c8264,Al Ettifaq,auto_merge_curated_alias,high,1,Saudi Arabia:1,Collapsed source variant to canonical club 'Al Ettifaq'.
c_al_faisaly_d08621cd,Al-Faisaly,Al-Faisaly,c_al_faisaly_d08621cd,Al-Faisaly,unchanged,not_applicable,3,Jordan:3,No normalization merge applied.
c_al_fayha_22bab1f3,Al Fayha,Al Fayha,c_al_fayha_22bab1f3,Al Fayha,unchanged,not_applicable,1,Panama:1,No normalization merge applied.
c_al_gharafa_cf3f2df9,Al Gharafa,Al Gharafa,c_al_gharafa_cf3f2df9,Al Gharafa,unchanged,not_applicable,3,Qatar:3,No normalization merge applied.
c_al_hilal_67047244,Al Hilal,Al Hilal,c_al_hilal_67047244,Al Hilal,unchanged,not_applicable,11,Saudi Arabia:6; Morocco:1; Uruguay:1; France:1; Senegal:1; Portugal:1,No normalization merge applied.
c_al_hussein_1fe1435d,Al-Hussein,Al-Hussein,c_al_hussein_1fe1435d,Al-Hussein,unchanged,not_applicable,6,Jordan:6,No normalization merge applied.
c_al_ittihad_715274c9,Al Ittihad,Al Ittihad,c_al_ittihad_715274c9,Al Ittihad,unchanged,not_applicable,4,Saudi Arabia:2; Brazil:1; Algeria:1,No normalization merge applied.
c_al_jazira_3cf19a97,Al Jazira,Al Jazira,c_al_jazira_3cf19a97,Al Jazira,unchanged,not_applicable,1,Congo DR:1,No normalization merge applied.
