review_id,issue_type,club_id_a,club_name_a,player_count_a,teams_a,club_id_b,club_name_b,player_count_b,teams_b,similarity_score,token_overlap,candidate_reason,recommended_action,notes
club_norm_review_0009,possible_duplicate_or_name_collision,c_al_nasr_0bf2f525,Al-Nasr,1,Iran:1,c_al_nassr_4ed92392,Al Nassr,10,Saudi Arabia:7; Portugal:2; Senegal:1,0.933,0.500,high string similarity 0.93; shared high-risk club/location token,manual_review_before_merge,"Not auto-merged by this pass; verify club identity, country, league, and Wikidata QID before merging."
club_norm_review_0014,possible_duplicate_or_name_collision,c_barcelona_cb30c55c,Barcelona,13,Spain:8; Brazil:1; Netherlands:1; Uruguay:1; France:1; Portugal:1,c_barcelona_b_ef28ece1,Barcelona B,1,Egypt:1,0.900,1.000,high string similarity 0.90; one name is token subset of the other; shared high-risk club/location token,manual_review_before_merge,"Not auto-merged by this pass; verify club identity, country, league, and Wikidata QID before merging."
club_norm_review_0002,possible_duplicate_or_name_collision,c_al_ahli_c686fb82,Al Ahli,9,Saudi Arabia:3; Brazil:1; Türkiye:1; Ivory Coast:1; Senegal:1; Algeria:1; England:1,c_al_ahly_d8f224e8,Al Ahly,9,Egypt:8; Morocco:1,0.857,0.500,shared high-risk club/location token,manual_review_before_merge,"Not auto-merged by this pass; verify club identity, country, league, and Wikidata QID before merging."
club_norm_review_0012,possible_duplicate_or_name_collision,c_al_wahda_7ae987ab,Al-Wahda,1,Iran:1,c_al_wehdat_2cc29034,Al-Wehdat,2,Jordan:2,0.824,0.500,shared high-risk club/location token,manual_review_before_merge,"Not auto-merged by this pass; verify club identity, country, league, and Wikidata QID before merging."
club_norm_review_0010,possible_duplicate_or_name_collision,c_al_shabab_e27f5149,Al-Shabab,1,Jordan:1,c_al_shamal_91835f7b,Al Shamal,1,Qatar:1,0.778,0.500,shared high-risk club/location token,manual_review_before_merge,"Not auto-merged by this pass; verify club identity, country, league, and Wikidata QID before merging."
club_norm_review_0003,possible_duplicate_or_name_collision,c_al_ahli_c686fb82,Al Ahli,9,Saudi Arabia:3; Brazil:1; Türkiye:1; Ivory Coast:1; Senegal:1; Algeria:1; England:1,c_al_ain_c5137584,Al Ain,3,Morocco:1; Paraguay:1; Egypt:1,0.769,0.500,shared high-risk club/location token,manual_review_before_merge,"Not auto-merged by this pass; verify club identity, country, league, and Wikidata QID before merging."
club_norm_review_0005,possible_duplicate_or_name_collision,c_al_arabi_aed4b46c,Al Arabi,3,Qatar:3,c_al_karma_f9b63d11,Al-Karma,2,Jordan:2,0.750,0.500,shared high-risk club/location token,manual_review_before_merge,"Not auto-merged by this pass; verify club identity, country, league, and Wikidata QID before merging."
club_norm_review_0006,possible_duplicate_or_name_collision,c_al_fayha_22bab1f3,Al Fayha,1,Panama:1,c_al_wahda_7ae987ab,Al-Wahda,1,Iran:1,0.750,0.500,shared high-risk club/location token,manual_review_before_merge,"Not auto-merged by this pass; verify club identity, country, league, and Wikidata QID before merging."
club_norm_review_0007,possible_duplicate_or_name_collision,c_al_karma_f9b63d11,Al-Karma,2,Jordan:2,c_al_najma_9b74810f,Al Najma,1,Egypt:1,0.750,0.500,shared high-risk club/location token,manual_review_before_merge,"Not auto-merged by this pass; verify club identity, country, league, and Wikidata QID before merging."
club_norm_review_0008,possible_duplicate_or_name_collision,c_al_khor_f91729aa,Al-Khor,1,Iraq:1,c_al_shorta_03f6bef7,Al-Shorta,6,Iraq:6,0.750,0.500,shared high-risk club/location token,manual_review_before_merge,"Not auto-merged by this pass; verify club identity, country, league, and Wikidata QID before merging."
club_norm_review_0015,possible_duplicate_or_name_collision,c_cercle_brugge_02b4f133,Cercle Brugge,1,Ivory Coast:1,c_club_brugge_ea2adfc5,Club Brugge,5,Belgium:3; Ecuador:1; Sweden:1,0.750,0.500,shared high-risk club/location token,manual_review_before_merge,"Not auto-merged by this pass; verify club identity, country, league, and Wikidata QID before merging."
club_norm_review_0017,possible_duplicate_or_name_collision,c_independiente_4f0bb709,Independiente,2,Paraguay:1; Colombia:1,c_independiente_rivadavia_c01b9f67,Independiente Rivadavia,1,Paraguay:1,0.722,1.000,one name is token subset of the other,manual_review_before_merge,"Not auto-merged by this pass; verify club identity, country, league, and Wikidata QID before merging."
