club_id,wikidata_id,club_name,club_name_ascii,country,league,city,stadium,club_lat,club_lon,club_source_url,geo_source,manual_review_flag,notes,player_count_at_callup,alias_count
c_abha_a8d5b324,,Abha,Abha,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_ac_milan_118eeb6e,,AC Milan,AC Milan,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,10,1
c_accra_hearts_of_oak_sc_5dd04a93,,Accra Hearts of Oak SC,Accra Hearts of Oak SC,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_ae_kifisias_b52d38fc,,AE Kifisias,AE Kifisias,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_aek_athens_72925ed6,,AEK Athens,AEK Athens,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_ael_431116e5,,AEL,AEL,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,2,1
c_ael_limassol_2cf0940b,,AEL Limassol,AEL Limassol,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,2,1
c_afc_bournemouth_61e18bcd,,AFC Bournemouth,AFC Bournemouth,,,,,,,,,FALSE,Merged aliases/source variants: AFC Bournemouth; Bournemouth. Wikidata/league/city/stadium pending Step 5b/Step 6.,5,2
c_agf_aarhus_255f8d4c,,AGF Aarhus,AGF Aarhus,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_agmk_a616cb6f,,AGMK,AGMK,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,2,1
c_aik_9fa4ead4,,AIK,AIK,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_aj_auxerre_5c7942ef,,AJ Auxerre,AJ Auxerre,,,,,,,,,FALSE,Merged aliases/source variants: AJ Auxerre; Auxerre. Wikidata/league/city/stadium pending Step 5b/Step 6.,5,2
c_ajax_955fab76,,Ajax,Ajax,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,4,1
c_akron_tolyatti_7891723e,,Akron Tolyatti,Akron Tolyatti,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_al_ahli_c686fb82,,Al Ahli,Al Ahli,,,,,,,,,FALSE,Merged aliases/source variants: Al Ahli; Al-Ahli. Wikidata/league/city/stadium pending Step 5b/Step 6.,9,2
c_al_ahly_d8f224e8,,Al Ahly,Al Ahly,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,9,1
c_al_ain_c5137584,,Al Ain,Al Ain,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,3,1
c_al_arabi_aed4b46c,,Al Arabi,Al Arabi,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,3,1
c_al_bataeh_bbe9608c,,Al Bataeh,Al Bataeh,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,2,1
c_al_duhail_917aca16,,Al Duhail,Al Duhail,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,7,1
c_al_ettifaq_807c8264,,Al Ettifaq,Al Ettifaq,,,,,,,,,FALSE,Merged aliases/source variants: Al Ettifaq; Al Etiffaq. Wikidata/league/city/stadium pending Step 5b/Step 6.,2,2
c_al_faisaly_d08621cd,,Al-Faisaly,Al-Faisaly,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,3,1
c_al_fayha_22bab1f3,,Al Fayha,Al Fayha,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_al_gharafa_cf3f2df9,,Al Gharafa,Al Gharafa,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,3,1
c_al_hilal_67047244,,Al Hilal,Al Hilal,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,11,1
c_al_hussein_1fe1435d,,Al-Hussein,Al-Hussein,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,6,1
c_al_ittihad_715274c9,,Al Ittihad,Al Ittihad,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,4,1
c_al_jazira_3cf19a97,,Al Jazira,Al Jazira,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_al_karma_f9b63d11,,Al-Karma,Al-Karma,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,2,1
c_al_khor_f91729aa,,Al-Khor,Al-Khor,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_al_najma_9b74810f,,Al Najma,Al Najma,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_al_nasr_0bf2f525,,Al-Nasr,Al-Nasr,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_al_nassr_4ed92392,,Al Nassr,Al Nassr,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,10,1
c_al_qadsiah_2c418904,,Al Qadsiah,Al Qadsiah,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,6,1
c_al_quwa_al_jawiya_d23a171e,,Al-Quwa Al-Jawiya,Al-Quwa Al-Jawiya,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_al_rayyan_e5871040,,Al Rayyan,Al Rayyan,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,4,1
c_al_riyadh_679deb94,,Al-Riyadh,Al-Riyadh,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_al_sadd_a599a00e,,Al Sadd,Al Sadd,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,5,1
c_al_sailiaya_6158b2fd,,Al-Sailiaya,Al-Sailiaya,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_al_shabab_e27f5149,,Al-Shabab,Al-Shabab,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_al_shamal_91835f7b,,Al Shamal,Al Shamal,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_al_shorta_03f6bef7,,Al-Shorta,Al-Shorta,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,6,1
