player_id,team,display_name,date_of_birth,action_hint
p_arg_leonardo_balerdi_27a86eed,Argentina,Leonardo Balerdi,1999-01-26,mark squad_status=removed unless matched manually
p_aut_christoph_baumgartner_b61866fa,Austria,Christoph Baumgartner,1999-08-01,mark squad_status=removed unless matched manually
p_bih_nidal_celik_dfd2c9c8,Bosnia-Herzegovina,Nidal Celik,2006-07-17,mark squad_status=removed unless matched manually
p_bih_osman_hadzikic_2978ceeb,Bosnia-Herzegovina,Osman Hadzikic,1996-03-12,mark squad_status=removed unless matched manually
p_bra_wesley_4e5617fa,Brazil,Wesley,2003-09-06,mark squad_status=removed unless matched manually
p_can_marcelo_flores_983fa665,Canada,Marcelo Flores,2003-10-01,mark squad_status=removed unless matched manually
p_cze_jan_koutny_c8b1005a,Czechia,Jan Koutný,2004-10-14,mark squad_status=removed unless matched manually
p_cze_matej_vydra_14c97e2f,Czechia,Matej Vydra,1992-05-01,mark squad_status=removed unless matched manually
p_eng_tino_livramento_a978799e,England,Tino Livramento,2002-11-12,mark squad_status=removed unless matched manually
p_ger_lennart_karl_6dc71e09,Germany,Lennart Karl,2008-02-22,mark squad_status=removed unless matched manually
p_hai_leverton_pierre_937726f8,Haiti,Leverton Pierre,1998-03-09,mark squad_status=removed unless matched manually
p_irn_amirhossein_mahmoudi_9fc783e3,Iran,Amirhossein Mahmoudi,2006-07-07,mark squad_status=removed unless matched manually
p_irq_ahmed_yahya_c04333c8,Iraq,Ahmed Yahya,1995-07-01,mark squad_status=removed unless matched manually
p_civ_clement_akpa_5bc74aaf,Ivory Coast,Clément Akpa,2001-11-24,mark squad_status=removed unless matched manually
p_jpn_wataru_endo_81d2ad68,Japan,Wataru Endo,1993-02-09,mark squad_status=removed unless matched manually
p_jor_ibrahim_sabra_7b01ae00,Jordan,Ibrahim Sabra,2006-02-01,mark squad_status=removed unless matched manually
p_mar_abde_ezzalzouli_0a50a924,Morocco,Abde Ezzalzouli,2001-12-17,mark squad_status=removed unless matched manually
p_mar_nayef_aguerd_3cae1460,Morocco,Nayef Aguerd,1996-03-30,mark squad_status=removed unless matched manually
p_ned_jurrien_timber_39588686,Netherlands,Jurriën Timber,2001-06-17,mark squad_status=removed unless matched manually
p_nzl_matt_garbett_5008fa08,New Zealand,Matthew Garbett,2002-04-13,mark squad_status=removed unless matched manually
p_por_ricardo_velho_5cff0015,Portugal,Ricardo Velho,1998-08-20,mark squad_status=removed unless matched manually
p_ksa_sultan_al_ghannam_2936c820,Saudi Arabia,Sultan Al-Ghannam,1994-05-06,mark squad_status=removed unless matched manually
p_sco_billy_gilmour_135feb60,Scotland,Billy Gilmour,2001-06-11,mark squad_status=removed unless matched manually
p_kor_jo_yu_min_79e957da,South Korea,Jo Yu-Min,1996-11-17,mark squad_status=removed unless matched manually
p_swe_emil_holm_affb1349,Sweden,Emil Holm,2000-05-13,mark squad_status=removed unless matched manually
p_uzb_jaloliddin_masharipov_5b3885bf,Uzbekistan,Jaloliddin Masharipov,1993-09-01,mark squad_status=removed unless matched manually
p_uzb_umarali_rakhmonaliev_6656049c,Uzbekistan,Umarali Rakhmonaliev,2003-08-18,mark squad_status=removed unless matched manually
