player_id,team,display_name,wiki_player_name,match_method,shirt_number,position,is_captain,caps_pre_tournament,goals_pre_tournament,wiki_club,our_dob,wiki_dob,dob_check
p_alg_aissa_mandi_18ff426e,Algeria,Aissa Mandi,Aïssa Mandi,exact,2,DF,False,119,8,Lille,1991-10-22,1991-10-22,OK
p_alg_mohamed_amine_tougai_d2bbe8d2,Algeria,Mohamed Amine Tougai,Mohamed Amine Tougai,exact,4,DF,False,30,2,Espérance de Tunis,2000-01-22,2000-01-22,OK
p_alg_ramiz_zerrouki_365c4fe7,Algeria,Ramiz Zerrouki,Ramiz Zerrouki,exact,6,MF,False,53,3,Twente,1998-05-26,1998-05-26,OK
p_alg_riyad_mahrez_cf3747ad,Algeria,Riyad Mahrez,Riyad Mahrez,exact,7,FW,True,116,38,Al-Ahli,1991-02-21,1991-02-21,OK
p_alg_houssem_aouar_4b886415,Algeria,Houssem Aouar,Houssem Aouar,exact,8,MF,False,22,6,Al-Ittihad,1998-06-30,1998-06-30,OK
p_alg_amine_gouiri_e78ccbec,Algeria,Amine Gouiri,Amine Gouiri,exact,9,FW,False,23,10,Marseille,2000-02-16,2000-02-16,OK
p_alg_fares_chaibi_7363c3a0,Algeria,Fares Chaibi,Farès Chaïbi,exact,10,MF,False,31,3,Eintracht Frankfurt,2002-11-28,2002-11-28,OK
p_alg_anis_hadj_moussa_ad8afb91,Algeria,Anis Hadj Moussa,Anis Hadj Moussa,exact,11,FW,False,15,2,Feyenoord,2002-02-11,2002-02-11,OK
p_alg_jaouen_hadjam_0bd5d114,Algeria,Jaouen Hadjam,Jaouen Hadjam,exact,13,DF,False,18,3,Young Boys,2003-03-26,2003-03-26,OK
p_alg_hicham_boudaoui_0c0f5c95,Algeria,Hicham Boudaoui,Hicham Boudaoui,exact,14,MF,False,34,0,Nice,1999-09-23,1999-09-23,OK
p_alg_rayan_ait_nouri_5cb1bf64,Algeria,Rayan Ait Nouri,Rayan Aït-Nouri,exact,15,DF,False,30,0,Manchester City,2001-06-06,2001-06-06,OK
p_alg_oussama_benbot_899e999e,Algeria,Oussama Benbot,Oussama Benbot,exact,16,GK,False,5,0,USM Alger,1994-10-11,1994-10-11,OK
p_alg_rafik_belghali_e4487e93,Algeria,Rafik Belghali,Rafik Belghali,exact,17,DF,False,13,1,Hellas Verona,2002-06-07,2002-06-07,OK
p_alg_nabil_bentaleb_b4544369,Algeria,Nabil Bentaleb,Nabil Bentaleb,exact,19,MF,False,60,6,Lille,1994-11-24,1994-11-24,OK
p_alg_adil_boulbina_d1bb01d8,Algeria,Adil Boulbina,Adil Boulbina,exact,20,FW,False,12,6,Al-Duhail,2003-05-02,2003-05-02,OK
p_alg_ramy_bensebaini_3cd59af9,Algeria,Ramy Bensebaini,Ramy Bensebaini,exact,21,DF,False,82,9,Borussia Dortmund,1995-04-16,1995-04-16,OK
p_alg_ibrahim_maza_9745cb11,Algeria,Ibrahim Maza,Ibrahim Maza,exact,22,MF,False,17,2,Bayer Leverkusen,2005-11-24,2005-11-24,OK
p_alg_luca_zidane_9bb39f36,Algeria,Luca Zidane,Luca Zidane,exact,23,GK,False,7,0,Granada,1998-05-13,1998-05-13,OK
p_alg_fares_ghedjemis_fe617a47,Algeria,Fares Ghedjemis,Farès Ghedjemis,exact,25,FW,False,1,1,Frosinone,2002-09-06,2002-09-06,OK
p_alg_samir_chergui_ab6dd360,Algeria,Samir Chergui,Samir Chergui,exact,26,DF,False,5,0,Paris FC,1999-02-06,1999-02-06,OK
p_alg_melvin_masstil_9362665c,Algeria,Melvin Masstil,Melvin Mastil,fuzzy:0.96,1,GK,False,2,0,Stade Nyonnais,2000-02-19,2000-02-19,OK
p_alg_achraf_abada_19289ff4,Algeria,Achraf Abada,Achref Abada,fuzzy:0.95,3,DF,False,9,1,USM Alger,1999-06-15,1999-06-15,OK
p_alg_zinedine_belaid_80b40d09,Algeria,Zinedine Belaid,Zineddine Belaïd,fuzzy:0.97,5,DF,False,18,1,JS Kabylie,1999-03-20,1999-03-20,OK
p_alg_nadir_benbouali_bb5a8a6a,Algeria,Nadir Benbouali,Nadhir Benbouali,fuzzy:0.97,12,FW,False,4,1,Győri ETO,2000-04-17,2000-04-17,OK
p_alg_mohamed_amine_amoura_56f3780c,Algeria,Mohamed Amine Amoura,Mohamed Amoura,fuzzy:0.95,18,FW,False,47,19,VfL Wolfsburg,2000-05-09,2000-05-09,OK
p_alg_yassine_titraoui_dce1a510,Algeria,Yassine Titraoui,Yacine Titraoui,fuzzy:0.95,24,MF,False,5,0,Charleroi,2003-07-26,2003-07-26,OK
p_arg_juan_musso_67aa6620,Argentina,Juan Musso,Juan Musso,exact,1,GK,False,4,0,Atlético Madrid,1994-05-06,1994-05-06,OK
p_arg_nicolas_tagliafico_ed77a5b4,Argentina,Nicolás Tagliafico,Nicolás Tagliafico,exact,3,DF,False,76,1,Lyon,1992-08-31,1992-08-31,OK
p_arg_gonzalo_montiel_aef86bee,Argentina,Gonzalo Montiel,Gonzalo Montiel,exact,4,DF,False,39,2,River Plate,1997-01-01,1997-01-01,OK
p_arg_leandro_paredes_03c0d6ce,Argentina,Leandro Paredes,Leandro Paredes,exact,5,MF,False,77,5,Boca Juniors,1994-06-29,1994-06-29,OK
p_arg_lisandro_martinez_3b573d93,Argentina,Lisandro Martínez,Lisandro Martínez,exact,6,DF,False,28,1,Manchester United,1998-01-18,1998-01-18,OK
p_arg_rodrigo_de_paul_8af82594,Argentina,Rodrigo De Paul,Rodrigo De Paul,exact,7,MF,False,87,2,Inter Miami CF,1994-05-24,1994-05-24,OK
p_arg_valentin_barco_e3b78216,Argentina,Valentín Barco,Valentín Barco,exact,8,MF,False,4,2,Strasbourg,2004-07-23,2004-07-23,OK
p_arg_julian_alvarez_797f95f2,Argentina,Julián Álvarez,Julián Alvarez,exact,9,FW,False,51,14,Atlético Madrid,2000-01-31,2000-01-31,OK
p_arg_lionel_messi_a65fe07a,Argentina,Lionel Messi,Lionel Messi,exact,10,FW,True,199,117,Inter Miami CF,1987-06-24,1987-06-24,OK
p_arg_giovani_lo_celso_5503c556,Argentina,Giovani Lo Celso,Giovani Lo Celso,exact,11,MF,False,67,4,Real Betis,1996-04-09,1996-04-09,OK
p_arg_geronimo_rulli_1f840d31,Argentina,Gerónimo Rulli,Gerónimo Rulli,exact,12,GK,False,8,0,Marseille,1992-05-20,1992-05-20,OK
