group,team,coach_name,coach_nationality
Group A,Czech Republic,Miroslav Koubek,
Group A,Mexico,Javier Aguirre,
Group A,South Africa,Hugo Broos,Belgium
Group A,South Korea,Hong Myung-bo,
Group B,Bosnia and Herzegovina,Sergej Barbarez,
Group B,Canada,Jesse Marsch,United States
Group B,Qatar,Julen Lopetegui,Spain
Group B,Switzerland,Murat Yakin,
Group C,Brazil,Carlo Ancelotti,Italy
Group C,Haiti,Sébastien Migné,France
Group C,Morocco,Mohamed Ouahbi,
Group C,Scotland,Steve Clarke,
Group D,Australia,Tony Popovic,
Group D,Paraguay,Gustavo Alfaro,Argentina
Group D,Turkey,Vincenzo Montella,Italy
Group D,United States,Mauricio Pochettino,Argentina
Group E,Curaçao,Dick Advocaat,Netherlands
Group E,Ecuador,Sebastián Beccacece,Argentina
Group E,Germany,Julian Nagelsmann,
Group E,Ivory Coast,Emerse Faé,
Group F,Japan,Hajime Moriyasu,
Group F,Netherlands,Ronald Koeman,
Group F,Sweden,Graham Potter,England
Group F,Tunisia,Sabri Lamouchi (first match) / Hervé Renard (remaining matches),France
Group G,Belgium,Rudi Garcia,France
Group G,Egypt,Hossam Hassan,
Group G,Iran,Amir Ghalenoei,
Group G,New Zealand,Darren Bazeley,England
Group H,Cape Verde,Bubista,
Group H,Saudi Arabia,Georgios Donis,Greece
Group H,Spain,Luis de la Fuente,
Group H,Uruguay,Marcelo Bielsa,Argentina
Group I,France,Didier Deschamps,
Group I,Iraq,Graham Arnold,Australia
Group I,Norway,Ståle Solbakken,
Group I,Senegal,Pape Thiaw,
Group J,Algeria,Vladimir Petković,Bosnia and Herzegovina
Group J,Argentina,Lionel Scaloni,
Group J,Austria,Ralf Rangnick,Germany
Group J,Jordan,Jamal Sellami,Morocco
Group K,Colombia,Néstor Lorenzo,Argentina
Group K,DR Congo,Sébastien Desabre,France
Group K,Portugal,Roberto Martínez,Spain
Group K,Uzbekistan,Fabio Cannavaro,Italy
Group L,Croatia,Zlatko Dalić,
Group L,England,Thomas Tuchel,Germany
Group L,Ghana,Carlos Queiroz,Portugal
Group L,Panama,Thomas Christiansen,Spain
