section,Confederation,Referees,Assistant referees,Matches assigned,Fourth official,Video assistant referee
Referees and assistant referees,AFC,Omar Al Ali ( United Arab Emirates ),Mohamed Al-Hammadi ( United Arab Emirates ),New Zealand–Egypt ( Group G ),Turkey–United States ( Group D ) South Africa–Canada ( Round of 32 ),
Referees and assistant referees,AFC,Abdulrahman Al-Jassim ( Qatar ),Taleb Al-Marri ( Qatar ) Saud Al-Maqaleh ( Qatar ),Portugal–DR Congo ( Group K ) Panama–England ( Group L ),Paraguay–France ( Round of 16 ),
Referees and assistant referees,AFC,Khalid Al-Turais ( Saudi Arabia ),Mohammed Al-Bakry ( Saudi Arabia ),,Canada–Bosnia and Herzegovina ( Group B ) Ivory Coast–Ecuador ( Group E ) Ghana–Panama ( Group L ) Germany–Ivory Coast ( Group E ) Panama–Croatia ( Group L ) Senegal–Iraq ( Group I ) England–DR Congo ( Round of 32 ),
Referees and assistant referees,AFC,Alireza Faghani ( Australia ),George Lakrindis ( Australia ) James Lindsay ( Australia ),France–Senegal ( Group I ) Colombia–Portugal ( Group K ) Mexico–England ( Round of 16 ),,
Referees and assistant referees,AFC,Ma Ning ( China ),Zhou Fei ( China ),Ecuador–Curaçao ( Group E ),England–Ghana ( Group L ) Norway–France ( Group I ) Germany–Paraguay ( Round of 32 ),
Referees and assistant referees,AFC,Adham Makhadmeh ( Jordan ),Mohammad Al-Kalaf ( Jordan ) Ahmad Al-Roalle ( Jordan ),Spain–Cape Verde ( Group H ) New Zealand–Belgium ( Group G ) England–DR Congo ( Round of 32 ) United States–Belgium ( Round of 16 ),Scotland–Morocco ( Group C ),
Referees and assistant referees,AFC,Ilgiz Tantashev ( Uzbekistan ),Timur Gaynullin ( Uzbekistan ) Andrey Tsapenko ( Uzbekistan ),Scotland–Morocco ( Group C ) Algeria–Austria ( Group J ) Paraguay–France ( Round of 16 ),,
Referees and assistant referees,AFC,Yusuke Araki ( Japan ),Jun Mihara ( Japan ),,United States–Paraguay ( Group D ) Iran–New Zealand ( Group G ) Switzerland–Bosnia and Herzegovina ( Group B ) Belgium–Iran ( Group G ) Bosnia and Herzegovina–Qatar ( Group B ) Egypt–Iran ( Group G ),
Referees and assistant referees,CAF,Pierre Atcho ( Gabon ),Boris Ditsoga ( Gabon ) Amos Abeigne Ndong ( Gabon ),Iraq–Norway ( Group I ) Panama–Croatia ( Group L ),United States–Belgium ( Round of 16 ),
Referees and assistant referees,CAF,Dahane Beida ( Mauritania ),Jerson Emiliano dos Santos ( Angola ) Elvis Noupue ( Cameroon ),Austria–Jordan ( Group J ),Japan–Sweden ( Group F ) Jordan–Argentina ( Group J ) Spain–Austria ( Round of 32 ),
