group,team,note
Group A,Czech Republic,The Czech Republic announced a 54-man preliminary squad on May 12. The squad was reduced to 29 players on May 21. They announced their final squad on May 31.
Group A,Mexico,Mexico announced a 55-man preliminary squad on May 12. The squad was reduced to 51 players on May 23. They announced their final squad on May 31.
Group A,South Africa,South Africa announced a 32-man preliminary squad on May 21. They announced their final squad on May 27.
Group A,South Korea,South Korea announced their final squad on May 16. Cho Yu-min withdrew injured and was replaced by Cho Wi-je on May 31.
Group B,Bosnia and Herzegovina,Bosnia and Herzegovina announced their final squad on May 11. Osman Hadžikić withdrew injured and was replaced by Mladen Jurkas on June 1. Nidal Čelik withdrew injured and was replaced by Arjan Malić on June 11.
Group B,Canada,Canada announced a 32-man preliminary squad on May 25. They announced their final squad on May 29. Marcelo Flores withdrew injured on May 31 and was replaced by Jayden Nelson on June 9.
Group B,Qatar,"Qatar announced a 34-man preliminary squad on May 12. The squad was extended to 35 players on May 18, then reduced to 28 players on May 25. They announced their final squad on June 1."
Group B,Switzerland,"Switzerland announced their final squad through a social media campaign on May 18 and 19, which was officially confirmed on May 20."
Group C,Brazil,Brazil announced a 55-man preliminary squad on May 12. They announced their final squad on May 18. Wesley withdrew injured and was replaced by Éderson Silva on June 7.
Group C,Haiti,Haiti announced their final squad on May 15. Leverton Pierre withdrew injured and was replaced by Garven Metusala on June 11.
Group C,Morocco,"Morocco announced their final squad on May 26. Abde Ezzalzouli and Nayef Aguerd withdrew injured and were replaced by Amine Sbaï and Marwane Saâdane on June 10, respectively."
Group C,Scotland,"Scotland announced their final squad on May 19. Billy Gilmour withdrew injured on May 30, and was replaced by Tyler Fletcher on May 31."
Group D,Australia,Australia announced their final squad on May 31.
Group D,Paraguay,Paraguay announced a 55-man preliminary squad on May 12. They announced their final squad on June 1.
Group D,Turkey,Turkey announced a 35-man preliminary squad on May 18. Their final squad was announced on June 2.
Group D,United States,The United States announced their final squad on May 26.
Group E,Curaçao,Curaçao announced their final squad on May 18.
Group E,Ecuador,Ecuador announced their final squad on May 31.
Group E,Germany,Germany announced their final squad on May 21. Lennart Karl withdrew injured and was replaced by Assan Ouédraogo on June 5.
Group E,Ivory Coast,Ivory Coast announced their final squad on May 15. Clément Akpa withdrew injured and was replaced by Christopher Opéri on May 29.
Group F,Japan,Japan announced their final squad on May 15. Wataru Endo withdrew injured and was replaced by Shūto Machino on June 11.
Group F,Netherlands,The Netherlands announced their final squad on May 27. Jurriën Timber withdrew injured and was replaced by Lutsharel Geertruida on June 8.
Group F,Sweden,Sweden announced their final squad on May 12. Emil Holm withdrew injured and was replaced by Herman Johansson on May 30.
Group F,Tunisia,"Tunisia announced their final squad on May 15. Coach Sabri Lamouchi was fired after the first match on June 15, and was replaced by Hervé Renard the next day."
Group G,Belgium,Belgium announced their final squad on May 15.
Group G,Egypt,Egypt announced a 27-man preliminary squad on May 20. They announced their final squad on May 30.
Group G,Iran,Iran announced a 30-man preliminary squad on May 16. The squad was extended to 31 players on May 21. They announced their final squad on June 1.
Group G,New Zealand,New Zealand announced their final squad on May 14. Matthew Garbett withdrew injured with a hamstring injury and was replaced by Logan Rogerson on June 15.
Group H,Cape Verde,Cape Verde announced their final squad on May 18.
Group H,Saudi Arabia,Saudi Arabia announced a 30-man preliminary squad on May 23. They announced their final squad on May 31.
Group H,Spain,Spain announced their final squad on May 25.
Group H,Uruguay,Uruguay announced their final squad on May 31.
Group I,France,France announced their final squad on May 14.
Group I,Iraq,Iraq announced a 34-man preliminary squad on May 19. They announced their final squad on June 1. Ahmed Yahya withdrew injured with a hamstring injury and was replaced by Ahmed Maknzi on June 6.
Group I,Norway,Norway announced their final squad on May 21.
Group I,Senegal,Senegal announced a 28-man preliminary squad on May 21. They announced their final squad on June 1.
Group J,Algeria,Algeria announced their final squad on May 31.
Group J,Argentina,Argentina announced a 55-man preliminary squad on May 11. They announced their final squad on May 28. Leonardo Balerdi withdrew due to a calf injury on June 6 and was replaced by Marcos Senesi on June 11.
Group J,Austria,Austria announced their final squad on May 18. Christoph Baumgartner withdrew injured on June 2 and was replaced by Dejan Ljubičić on June 10.
Group J,Jordan,Jordan announced a 30-man preliminary squad on May 17. The squad was reduced to 28 players on May 27. Their final squad was announced on June 2. Ibrahim Sabra withdrew injured on June 5 and was replaced by Mohammad Taha on June 8.
Group K,Colombia,Colombia announced a 55-man preliminary squad on May 14. They announced their final squad on May 25.
Group K,DR Congo,DR Congo announced their final squad on May 18. Rocky Bushiri withdrew injured and was replaced by Aaron Tshibola on May 20.
Group K,Portugal,Portugal announced their final squad on May 19.
Group K,Uzbekistan,"Uzbekistan announced a 40-man preliminary squad on May 5. The squad was reduced to 39 players on May 22 as Ibrokhimkhalil Yuldoshev withdrew injured, then to 30 players on May 24. Their final squad was announced on June 2. Jaloliddin Masharipov withdrew due to a back injury and was replaced by Ruslanbek Jiyanov on June 15."
Group L,Croatia,Croatia announced their final squad on May 18.
Group L,England,England announced their final squad on May 22. Tino Livramento withdrew injured and was replaced by Trevoh Chalobah on June 16.
Group L,Ghana,Ghana announced a 28-man preliminary squad on May 25. Alexander Djiku withdrew injured and was replaced by Derrick Luckassen on June 1. They announced their final squad on June 2.
Group L,Panama,Panama announced their final squad on May 26.
