player_id,display_name,wikidata_id,issue_type,issue_detail,suggested_fix
p_alg_achraf_abada_19289ff4,Achraf Abada,Q136462891,no_wikidata_p18_image,Wikidata item has no P18 image and no existing image title/url was present.,"Leave image fields blank, add a licensed image manually, or check Commons/Wikipedia manually."
p_alg_adil_boulbina_d1bb01d8,Adil Boulbina,Q112654481,no_wikidata_p18_image,Wikidata item has no P18 image and no existing image title/url was present.,"Leave image fields blank, add a licensed image manually, or check Commons/Wikipedia manually."
p_alg_fares_ghedjemis_fe617a47,Fares Ghedjemis,Q124151324,no_wikidata_p18_image,Wikidata item has no P18 image and no existing image title/url was present.,"Leave image fields blank, add a licensed image manually, or check Commons/Wikipedia manually."
p_alg_ibrahim_maza_9745cb11,Ibrahim Maza,Q118118504,no_wikidata_p18_image,Wikidata item has no P18 image and no existing image title/url was present.,"Leave image fields blank, add a licensed image manually, or check Commons/Wikipedia manually."
p_alg_melvin_masstil_9362665c,Melvin Masstil,Q105846503,no_wikidata_p18_image,Wikidata item has no P18 image and no existing image title/url was present.,"Leave image fields blank, add a licensed image manually, or check Commons/Wikipedia manually."
p_alg_oussama_benbot_899e999e,Oussama Benbot,Q84601192,no_wikidata_p18_image,Wikidata item has no P18 image and no existing image title/url was present.,"Leave image fields blank, add a licensed image manually, or check Commons/Wikipedia manually."
p_alg_rafik_belghali_e4487e93,Rafik Belghali,Q106030853,no_wikidata_p18_image,Wikidata item has no P18 image and no existing image title/url was present.,"Leave image fields blank, add a licensed image manually, or check Commons/Wikipedia manually."
p_alg_samir_chergui_ab6dd360,Samir Chergui,Q104745615,no_wikidata_p18_image,Wikidata item has no P18 image and no existing image title/url was present.,"Leave image fields blank, add a licensed image manually, or check Commons/Wikipedia manually."
p_alg_yassine_titraoui_dce1a510,Yassine Titraoui,Q109986890,no_wikidata_p18_image,Wikidata item has no P18 image and no existing image title/url was present.,"Leave image fields blank, add a licensed image manually, or check Commons/Wikipedia manually."
p_aus_alessandro_circati_764625f7,Alessandro Circati,Q111020508,no_wikidata_p18_image,Wikidata item has no P18 image and no existing image title/url was present.,"Leave image fields blank, add a licensed image manually, or check Commons/Wikipedia manually."
p_aus_jacob_italiano_9d055542,Jacob Italiano,Q43303848,no_wikidata_p18_image,Wikidata item has no P18 image and no existing image title/url was present.,"Leave image fields blank, add a licensed image manually, or check Commons/Wikipedia manually."
p_aus_paul_okon_jr_7510a440,Paul Okon Jr,Q117000107,no_wikidata_p18_image,Wikidata item has no P18 image and no existing image title/url was present.,"Leave image fields blank, add a licensed image manually, or check Commons/Wikipedia manually."
p_aut_carney_chukwuemeka_32cb323a,Carney Chukwuemeka,Q106915801,no_wikidata_p18_image,Wikidata item has no P18 image and no existing image title/url was present.,"Leave image fields blank, add a licensed image manually, or check Commons/Wikipedia manually."
p_aut_florian_wiegele_29234ed6,Florian Wiegele,Q123335801,no_wikidata_p18_image,Wikidata item has no P18 image and no existing image title/url was present.,"Leave image fields blank, add a licensed image manually, or check Commons/Wikipedia manually."
p_aut_michael_svoboda_55a6a7fb,Michael Svoboda,Q55813157,no_wikidata_p18_image,Wikidata item has no P18 image and no existing image title/url was present.,"Leave image fields blank, add a licensed image manually, or check Commons/Wikipedia manually."
p_bel_mike_penders_44bb081c,Mike Penders,Q113515002,no_wikidata_p18_image,Wikidata item has no P18 image and no existing image title/url was present.,"Leave image fields blank, add a licensed image manually, or check Commons/Wikipedia manually."
p_bel_nathan_ngoy_02cef402,Nathan Ngoy,Q107094087,no_wikidata_p18_image,Wikidata item has no P18 image and no existing image title/url was present.,"Leave image fields blank, add a licensed image manually, or check Commons/Wikipedia manually."
p_bih_amar_memic_1ca20cc8,Amar Memic,Q124051749,no_wikidata_p18_image,Wikidata item has no P18 image and no existing image title/url was present.,"Leave image fields blank, add a licensed image manually, or check Commons/Wikipedia manually."
p_bih_ermedin_demirovic_0fb96d18,Ermedin Demirovic,Q47067481,no_wikidata_p18_image,Wikidata item has no P18 image and no existing image title/url was present.,"Leave image fields blank, add a licensed image manually, or check Commons/Wikipedia manually."
p_bih_ermin_mahmic_f48e604f,Ermin Mahmic,Q123139564,no_wikidata_p18_image,Wikidata item has no P18 image and no existing image title/url was present.,"Leave image fields blank, add a licensed image manually, or check Commons/Wikipedia manually."
p_bih_esmir_bajraktarevic_94f4ae47,Esmir Bajraktarevic,Q108518721,no_wikidata_p18_image,Wikidata item has no P18 image and no existing image title/url was present.,"Leave image fields blank, add a licensed image manually, or check Commons/Wikipedia manually."
p_bih_martin_zlomislic_93d55036,Martin Zlomislic,Q83795769,no_wikidata_p18_image,Wikidata item has no P18 image and no existing image title/url was present.,"Leave image fields blank, add a licensed image manually, or check Commons/Wikipedia manually."
p_bih_nihad_mujakic_1dba0c25,Nihad Mujakic,Q50623645,no_wikidata_p18_image,Wikidata item has no P18 image and no existing image title/url was present.,"Leave image fields blank, add a licensed image manually, or check Commons/Wikipedia manually."
p_bih_samed_bazdar_08b5f2c0,Samed Bazdar,Q107284545,no_wikidata_p18_image,Wikidata item has no P18 image and no existing image title/url was present.,"Leave image fields blank, add a licensed image manually, or check Commons/Wikipedia manually."
p_bih_stjepan_radeljic_882cc157,Stjepan Radeljic,Q56227031,no_wikidata_p18_image,Wikidata item has no P18 image and no existing image title/url was present.,"Leave image fields blank, add a licensed image manually, or check Commons/Wikipedia manually."
p_bih_tarik_muharemovic_f0fc52ce,Tarik Muharemovic,Q106620882,incomplete_commons_image_metadata,Commons metadata missing: image_license,Open the Commons file page and verify/fill missing attribution or license details manually.
p_bra_bremer_d70621c1,Bremer,Q38693097,no_wikidata_p18_image,Wikidata item has no P18 image and no existing image title/url was present.,"Leave image fields blank, add a licensed image manually, or check Commons/Wikipedia manually."
p_bra_leo_pereira_341afa28,Léo Pereira,Q18199184,no_wikidata_p18_image,Wikidata item has no P18 image and no existing image title/url was present.,"Leave image fields blank, add a licensed image manually, or check Commons/Wikipedia manually."
p_bra_wesley_4e5617fa,Wesley,Q110882542,no_wikidata_p18_image,Wikidata item has no P18 image and no existing image title/url was present.,"Leave image fields blank, add a licensed image manually, or check Commons/Wikipedia manually."
p_can_ali_ahmed_23b0243f,Ali Ahmed,Q111741178,no_wikidata_p18_image,Wikidata item has no P18 image and no existing image title/url was present.,"Leave image fields blank, add a licensed image manually, or check Commons/Wikipedia manually."
p_can_luc_de_fougerolles_1b8770b0,Luc De Fougerolles,Q121829403,no_wikidata_p18_image,Wikidata item has no P18 image and no existing image title/url was present.,"Leave image fields blank, add a licensed image manually, or check Commons/Wikipedia manually."
