club_id,club_name,club_name_ascii,league,country,city,stadium,city_lat,city_lon,city_source_url,city_geo_source,city_match_confidence,manual_review_flag,notes,city_key,city_review_notes
c_abha_a8d5b324,Abha Club,Abha Club,Saudi First Division League,Saudi Arabia,Abha,Prince Sultan bin Abdulaziz Sports City Stadium,18.21639,42.50528,https://www.geonames.org/110690,geonames_searchJSON,high,False,,saudi-arabia__abha__4826cb91,GeoNames name_equals match; selected 'Abha'; admin 'عسير'; feature PPLA; population 210886; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
c_ac_milan_118eeb6e,AC Milan,AC Milan,Serie A,Italy,Milan,Giuseppe Meazza Stadium,45.46427,9.18951,https://www.geonames.org/3173435,geonames_searchJSON,high,False,,italy__milan__c8407de8,GeoNames name_equals match; selected 'Milan'; admin 'Lombardia'; feature PPLA; population 1371498; 5.3 km from trusted local centroid; top-vs-next score margin 62.7; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
c_accra_hearts_of_oak_sc_5dd04a93,Accra Hearts of Oak S.C.,Accra Hearts of Oak S.C.,Ghana Premier League,Ghana,Accra,Accra Sports Stadium,5.55602,-0.1969,https://www.geonames.org/2306104,geonames_searchJSON,high,False,Step 5 manual review canonical rename from 'Accra Hearts of Oak SC' to 'Accra Hearts of Oak S.C.'.,ghana__accra__500f1052,GeoNames name_equals match; selected 'Accra'; admin 'Greater Accra'; feature PPLC; population 1963264; 0.7 km from trusted local centroid; top-vs-next score margin 104.0; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
c_ae_kifisias_b52d38fc,A.E. Kifisia F.C.,A.E. Kifisia F.C.,Super League Greece,Greece,Nikaia,Neapoli Stadium,37.96667,23.65,https://www.geonames.org/256429,geonames_searchJSON,medium,False,,greece__nikaia__93de8026,GeoNames name_equals match; selected 'Níkaia'; admin 'Αττική'; feature PPLA3; population 89380; top-vs-next score margin 4.3; spot-check recommended before promoting to final club coordinates; HTTP fallback was used because the GeoNames HTTPS certificate failed verification. NOTE: Verified.
c_aek_athens_72925ed6,AEK Athens,AEK Athens,Super League Greece,Greece,Nea Filadelfeia,Agia Sophia Stadium,38.03491,23.73811,https://www.geonames.org/256621,geonames_searchJSON,high,False,,greece__nea-filadelfeia__e7977283,GeoNames name_equals match; selected 'Néa Filadélfeia'; admin 'Αττική'; feature PPLA3; population 25734; 0.4 km from trusted local centroid; top-vs-next score margin 86.3; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
c_ael_431116e5,Athlitiki Enosi Larissa F.C.,Athlitiki Enosi Larissa F.C.,Super League Greece 2,Greece,Larissa,AEL FC Arena,39.62847,22.42112,https://www.geonames.org/258576,geonames_searchJSON,low,False,,greece__larissa__a035c8e4,GeoNames name_equals match; selected 'Lárisa'; admin 'Θεσσαλία'; feature PPLA; population 146926; spot-check recommended before promoting to final club coordinates; HTTP fallback was used because the GeoNames HTTPS certificate failed verification. NOTE: Verified.
c_ael_limassol_2cf0940b,AEL Limassol,AEL Limassol,Cypriot First Division,Cyprus,Kolossi,Alphamega Stadium,34.66865,32.93375,https://www.geonames.org/146451,geonames_searchJSON,high,False,,cyprus__kolossi__faffbad3,GeoNames name_equals match; selected 'Kolossi'; admin 'Επαρχία Λάρνακας'; feature PPL; population 6478; 2.8 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
c_afc_bournemouth_61e18bcd,AFC Bournemouth,AFC Bournemouth,Premier League,England,Bournemouth,Dean Court,50.72048,-1.8795,https://www.geonames.org/2655095,geonames_searchJSON,high,False,Merged aliases/source variants: AFC Bournemouth; Bournemouth.,england__bournemouth__76f7ee7d,GeoNames name_equals match; selected 'Bournemouth'; admin 'England'; feature PPLA2; population 163600; 3.3 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
c_agf_aarhus_255f8d4c,Aarhus Gymnastikforening,Aarhus Gymnastikforening,Danish Superliga,Denmark,Aarhus,Vejlby Stadium,56.15674,10.21076,https://www.geonames.org/2624652,geonames_searchJSON,high,False,,denmark__aarhus__55d77285,GeoNames name_equals match; selected 'Århus'; admin 'Region Midtjylland'; feature PPLA2; population 285273; 2.9 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
c_agmk_a616cb6f,AGMK,AGMK,Uzbekistan Super League,Uzbekistan,Olmaliq,AGMK Stadium,40.84472,69.59833,https://www.geonames.org/1513064,geonames_searchJSON,high,False,,uzbekistan__olmaliq__0a56ab9d,GeoNames name_equals match; selected 'Olmaliq'; admin 'Toshkent viloyati'; feature PPL; population 133400; 0.2 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
c_aik_9fa4ead4,AIK Fotboll,AIK Fotboll,Allsvenskan,Sweden,Stockholm,Nationalarenan,59.32938,18.06871,https://www.geonames.org/2673730,geonames_searchJSON,high,False,,sweden__stockholm__40fa3e82,GeoNames name_equals match; selected 'Stockholm'; admin 'Stockholms län'; feature PPLC; population 1515017; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
c_aj_auxerre_5c7942ef,AJ Auxerre,AJ Auxerre,Ligue 1,France,Auxerre,Stade de l'Abbé-Deschamps,47.7996,3.57033,https://www.geonames.org/3035843,geonames_searchJSON,high,False,Merged aliases/source variants: AJ Auxerre; Auxerre.,france__auxerre__9554581e,GeoNames name_equals match; selected 'Auxerre'; admin 'Bourgogne'; feature PPLA2; population 41516; 2.0 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
c_ajax_955fab76,AFC Ajax,AFC Ajax,Eredivisie,Netherlands,Amsterdam,Johan Cruyff Arena,52.37403,4.88969,https://www.geonames.org/2759794,geonames_searchJSON,high,False,,netherlands__amsterdam__60fce071,GeoNames name_equals match; selected 'Amsterdam'; admin 'Noord-Holland'; feature PPLC; population 741636; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
c_akron_tolyatti_7891723e,Akron Tolyatti,Akron Tolyatti,Russian Premier League,Russia,Samara,Samara Arena,53.20767,50.13553,https://www.geonames.org/499099,geonames_searchJSON,high,False,,russia__samara__135c829f,GeoNames name_equals match; selected 'Samara'; admin 'Самарская Область'; feature PPLA; population 1163399; 10.3 km from trusted local centroid; top-vs-next score margin 102.0; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
c_al_ahli_c686fb82,Al-Ahli Saudi FC,Al-Ahli Saudi FC,Saudi Pro League,Saudi Arabia,Jeddah,King Abdullah Sports City,21.49012,39.18624,https://www.geonames.org/105343,geonames_searchJSON,high,False,Step 5 manual review canonical rename from 'Al Ahli' to 'Al-Ahli Saudi FC'. Merged aliases/source variants: Al Ahli; Al-Ahli.,saudi-arabia__jeddah__ef192a1c,GeoNames name_equals match; selected 'Jeddah'; admin 'مكة المكرّمة'; feature PPL; population 4697000; 30.4 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
c_al_ahly_d8f224e8,Al Ahly SC,Al Ahly SC,Egyptian Premier League,Egypt,Cairo,Cairo International Stadium,30.06263,31.24967,https://www.geonames.org/360630,geonames_searchJSON,high,False,Step 5 manual review canonical rename from 'Al Ahly' to 'Al Ahly SC'.,egypt__cairo__f51a7213,GeoNames name_equals match; selected 'Cairo'; admin 'القاهرة'; feature PPLC; population 9606916; 12.3 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
c_al_ain_c5137584,Al Ain FC,Al Ain FC,UAE Pro League,United Arab Emirates,Al Ain,Hazza bin Zayed Stadium,24.19167,55.76056,https://www.geonames.org/292913,geonames_searchJSON,low,False,Step 5 manual review canonical rename from 'Al Ain' to 'Al Ain FC'.,united-arab-emirates__al-ain__e6f0be89,GeoNames name_equals match; selected 'Al Ain City'; admin 'أبو ظبي'; feature PPL; population 846747; 7.5 km from trusted local centroid; spot-check recommended before promoting to final club coordinates; HTTP fallback was used because the GeoNames HTTPS certificate failed verification. NOTE: Verified.
c_al_arabi_aed4b46c,Al-Arabi SC (Qatar),Al-Arabi SC (Qatar),Qatar Stars League,Qatar,Doha,Grand Hamad Stadium,25.28545,51.53096,https://www.geonames.org/290030,geonames_searchJSON,high,False,Step 5 manual review canonical rename from 'Al Arabi' to 'Al-Arabi SC (Qatar)'.,qatar__doha__d0c76c19,GeoNames name_equals match; selected 'Doha'; admin 'بَلَدِيَّة اَلدَّوْحَة'; feature PPLC; population 344939; 5.5 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
c_al_bataeh_bbe9608c,Al Bataeh Club,Al Bataeh Club,UAE Pro League,United Arab Emirates,Al Bataeh,Al Bataeh Stadium,25.271944,55.736389,https://geohack.toolforge.org/geohack.php?pagename=Al_Bataeh&params=25_16_19_N_55_44_11_E_region:AE_type:city(6000),geohack,low,False,,united-arab-emirates__al-bataeh__c806c9a3,"GeoNames returned no populated-place matches for this city-country query. NOTE: No GeoNames link, found alternative."
