official_id,name,country,role,confederation,source_id,retrieved_at
ref_wc2026_48aab2dc,Omar Al Ali,United Arab Emirates,referee,AFC,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_450ba358,Mohamed Al-Hammadi,United Arab Emirates,assistant_referee,AFC,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_699653a8,Abdulrahman Al-Jassim,Qatar,referee,AFC,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_c6e6fc22,Taleb Al-Marri,Qatar,assistant_referee,AFC,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_3af4eea5,Saud Al-Maqaleh,Qatar,assistant_referee,AFC,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_5f922334,Khalid Al-Turais,Saudi Arabia,referee,AFC,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_132a7f6c,Mohammed Al-Bakry,Saudi Arabia,assistant_referee,AFC,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_dfd8e15f,Alireza Faghani,Australia,referee,AFC,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_3ddf0866,George Lakrindis,Australia,assistant_referee,AFC,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_c24f7022,James Lindsay,Australia,assistant_referee,AFC,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_62d91993,Ma Ning,China,referee,AFC,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_f702d86f,Zhou Fei,China,assistant_referee,AFC,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_1a41c71f,Adham Makhadmeh,Jordan,referee,AFC,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_6a8d1db0,Mohammad Al-Kalaf,Jordan,assistant_referee,AFC,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_11aa9223,Ahmad Al-Roalle,Jordan,assistant_referee,AFC,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_62a7efc2,Ilgiz Tantashev,Uzbekistan,referee,AFC,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_54b2e887,Timur Gaynullin,Uzbekistan,assistant_referee,AFC,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_d7fb5264,Andrey Tsapenko,Uzbekistan,assistant_referee,AFC,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_ba8bc91e,Yusuke Araki,Japan,referee,AFC,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_ffed325e,Jun Mihara,Japan,assistant_referee,AFC,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_8b920a8e,Pierre Atcho,Gabon,referee,CAF,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_b102ab6e,Boris Ditsoga,Gabon,assistant_referee,CAF,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_b4a08c93,Amos Abeigne Ndong,Gabon,assistant_referee,CAF,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_da242078,Dahane Beida,Mauritania,referee,CAF,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_4b20d311,Jerson Emiliano dos Santos,Angola,assistant_referee,CAF,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_8ffe5164,Elvis Noupue,Cameroon,assistant_referee,CAF,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_f9c2a19e,Mustapha Ghorbal,Algeria,referee,CAF,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_2c3fda32,Mokrane Gourari,Algeria,assistant_referee,CAF,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_6ebe8cc2,Abbes Akram Zerhouni,Algeria,assistant_referee,CAF,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_899fdec7,Jalal Jayed,Morocco,referee,CAF,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_e8e33904,Zakaria Brinsi,Morocco,assistant_referee,CAF,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_b944cca9,Mostafa Akarkad,Morocco,assistant_referee,CAF,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_c96eae2b,Amin Omar,Egypt,referee,CAF,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_dd9f8892,Mahmoud Abouregal,Egypt,assistant_referee,CAF,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_a21a15e2,Ahmed Hossam Taha,Egypt,assistant_referee,CAF,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_6fc9bb98,Abongile Tom,South Africa,referee,CAF,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_8dee4855,Zakhele Siwela,South Africa,assistant_referee,CAF,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_527b1aad,Iván Barton,El Salvador,referee,CONCACAF,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_5465e8f3,David Morán,El Salvador,assistant_referee,CONCACAF,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_3b857105,Henry Pupiro,Nicaragua,assistant_referee,CONCACAF,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_aa246213,Juan Gabriel Calderón,Costa Rica,referee,CONCACAF,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_d1eec408,Juan Carlos Mora,Costa Rica,assistant_referee,CONCACAF,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_1dee27bd,Ismail Elfath,United States,referee,CONCACAF,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_4d4ec907,Corey Parker,United States,assistant_referee,CONCACAF,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_b4647e5d,Kyle Atkins,United States,assistant_referee,CONCACAF,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_7a1086e9,Oshane Nation,Jamaica,referee,CONCACAF,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_ea63049a,Caleb Wales,Trinidad and Tobago,assistant_referee,CONCACAF,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_70e67e11,Drew Fischer,Canada,referee,CONCACAF,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_bc6bb747,Lyes Arfa,Canada,assistant_referee,CONCACAF,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_7f09217c,Micheal Barwegen,Canada,assistant_referee,CONCACAF,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_45284e60,Katia Itzel García,Mexico,referee,CONCACAF,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_ff81dc56,Sandra Ramírez,Mexico,assistant_referee,CONCACAF,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_dc24c7e2,Saíd Martínez,Honduras,referee,CONCACAF,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_63faba13,Walter López,Honduras,assistant_referee,CONCACAF,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_a2ec41cc,Christian Ramírez,Honduras,assistant_referee,CONCACAF,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_2c25e742,Tori Penso,United States,referee,CONCACAF,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_1dc167bf,Kathryn Nesbitt,United States,assistant_referee,CONCACAF,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_7276d5e7,Brooke Mayo,United States,assistant_referee,CONCACAF,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_ce16bc02,César Arturo Ramos,Mexico,referee,CONCACAF,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_9a5c90ff,Alberto Morín,Mexico,assistant_referee,CONCACAF,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_8c209d09,Marco Bisguerra,Mexico,assistant_referee,CONCACAF,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_775db6cd,Ramon Abatti,Brazil,referee,CONMEBOL,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_69d88f77,Rafael Alves,Brazil,assistant_referee,CONMEBOL,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_416ad231,Danilo Manis,Brazil,assistant_referee,CONMEBOL,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_d4f5c30a,Juan Gabriel Benítez,Paraguay,referee,CONMEBOL,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_c8c90814,Eduardo Cardozo,Paraguay,assistant_referee,CONMEBOL,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_bca868a4,Milcíades Saldívar,Paraguay,assistant_referee,CONMEBOL,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_a5e93102,Raphael Claus,Brazil,referee,CONMEBOL,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_f72910c0,Rodrigo Figueiredo,Brazil,assistant_referee,CONMEBOL,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_b449e092,Yael Falcón,Argentina,referee,CONMEBOL,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_12c9c4df,Maximiliano Del Yesso,Argentina,assistant_referee,CONMEBOL,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_f2df31f3,Facundo Rodríguez,Argentina,assistant_referee,CONMEBOL,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_cf404489,Cristián Garay,Chile,referee,CONMEBOL,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_009995a3,José Retamal,Chile,assistant_referee,CONMEBOL,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_79f22291,Miguel Rocha,Chile,assistant_referee,CONMEBOL,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_135fa84a,Darío Herrera,Argentina,referee,CONMEBOL,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_fb9e1248,Cristian Navarro,Argentina,assistant_referee,CONMEBOL,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_1d5ec5cb,Kevin Ortega,Peru,referee,CONMEBOL,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_87387386,Michael Orué,Peru,assistant_referee,CONMEBOL,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_05ab6a99,Andrés Rojas,Colombia,referee,CONMEBOL,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_2450a1b1,Alexander Guzmán,Colombia,assistant_referee,CONMEBOL,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_9bd13333,Wilton Sampaio,Brazil,referee,CONMEBOL,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_0a13da56,Bruno Boschilia,Brazil,assistant_referee,CONMEBOL,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_25610fa9,Bruno Pires,Brazil,assistant_referee,CONMEBOL,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_65243c73,Gustavo Tejera,Uruguay,referee,CONMEBOL,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_8a94b855,Nicolás Tarán,Uruguay,assistant_referee,CONMEBOL,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_6952b0ca,Carlos Barreiro,Uruguay,assistant_referee,CONMEBOL,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_9cdc2b7a,Facundo Tello,Argentina,referee,CONMEBOL,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_43820a60,Juan Pablo Belatti,Argentina,assistant_referee,CONMEBOL,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_7c3f9116,Gabriel Chade,Argentina,assistant_referee,CONMEBOL,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_324a924d,Jesús Valenzuela,Venezuela,referee,CONMEBOL,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_d5d3394d,Jorge Urrego,Venezuela,assistant_referee,CONMEBOL,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_8265746d,Tulio Moreno,Venezuela,assistant_referee,CONMEBOL,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_6801e9b7,Campbell-Kirk Kawana-Waugh,New Zealand,referee,OFC,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_3b86cf00,Isaac Trevis,New Zealand,assistant_referee,OFC,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_e759b192,Espen Eskås,Norway,referee,UEFA,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_2260fad5,Jan Erik Engan,Norway,assistant_referee,UEFA,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_6995c911,Isaak Bashevkin,Norway,assistant_referee,UEFA,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_e3f12613,Alejandro Hernández Hernández,Spain,referee,UEFA,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_3912baba,José Enrique Naranjo Pérez,Spain,assistant_referee,UEFA,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_a30b635f,Diego Sánchez Rojo,Spain,assistant_referee,UEFA,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_19282cd9,István Kovács,Romania,referee,UEFA,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_0bada87f,Mihai Marius Marica,Romania,assistant_referee,UEFA,wiki_officials_2026,2026-07-12T00:00:00
