club_id,wikidata_id,club_name,club_name_ascii,country,league,city,stadium,club_lat,club_lon,club_source_url,geo_source,manual_review_flag,notes
c_ac_milan_118eeb6e,,AC Milan,AC Milan,,,,,,,,,FALSE,
c_ae_kifisias_b52d38fc,,AE Kifisias,AE Kifisias,,,,,,,,,FALSE,
c_aek_athens_72925ed6,,AEK Athens,AEK Athens,,,,,,,,,FALSE,
c_ael_431116e5,,AEL,AEL,,,,,,,,,FALSE,
c_ael_limassol_2cf0940b,,AEL Limassol,AEL Limassol,,,,,,,,,FALSE,
c_afc_bournemouth_61e18bcd,,AFC Bournemouth,AFC Bournemouth,,,,,,,,,FALSE,
c_agf_aarhus_255f8d4c,,AGF Aarhus,AGF Aarhus,,,,,,,,,FALSE,
c_agmk_a616cb6f,,AGMK,AGMK,,,,,,,,,FALSE,
c_aik_9fa4ead4,,AIK,AIK,,,,,,,,,FALSE,
c_aj_auxerre_5c7942ef,,AJ Auxerre,AJ Auxerre,,,,,,,,,FALSE,
c_as_far_8343a091,,AS Far,AS Far,,,,,,,,,FALSE,
c_as_monaco_6b2106c8,,AS Monaco,AS Monaco,,,,,,,,,FALSE,
c_as_roma_2ecbf69f,,AS Roma,AS Roma,,,,,,,,,FALSE,
c_az_alkmaar_6ec3c79a,,AZ Alkmaar,AZ Alkmaar,,,,,,,,,FALSE,
c_abha_a8d5b324,,Abha,Abha,,,,,,,,,FALSE,
c_accra_hearts_of_oak_sc_5dd04a93,,Accra Hearts of Oak SC,Accra Hearts of Oak SC,,,,,,,,,FALSE,
c_ajax_955fab76,,Ajax,Ajax,,,,,,,,,FALSE,
c_akron_tolyatti_7891723e,,Akron Tolyatti,Akron Tolyatti,,,,,,,,,FALSE,
c_al_ahli_c686fb82,,Al Ahli,Al Ahli,,,,,,,,,FALSE,
c_al_ahly_d8f224e8,,Al Ahly,Al Ahly,,,,,,,,,FALSE,
c_al_ain_c5137584,,Al Ain,Al Ain,,,,,,,,,FALSE,
c_al_arabi_aed4b46c,,Al Arabi,Al Arabi,,,,,,,,,FALSE,
c_al_bataeh_bbe9608c,,Al Bataeh,Al Bataeh,,,,,,,,,FALSE,
c_al_duhail_917aca16,,Al Duhail,Al Duhail,,,,,,,,,FALSE,
c_al_etiffaq_f2058dce,,Al Etiffaq,Al Etiffaq,,,,,,,,,FALSE,
c_al_ettifaq_807c8264,,Al Ettifaq,Al Ettifaq,,,,,,,,,FALSE,
c_al_fayha_22bab1f3,,Al Fayha,Al Fayha,,,,,,,,,FALSE,
c_al_gharafa_cf3f2df9,,Al Gharafa,Al Gharafa,,,,,,,,,FALSE,
c_al_hilal_67047244,,Al Hilal,Al Hilal,,,,,,,,,FALSE,
c_al_ittihad_715274c9,,Al Ittihad,Al Ittihad,,,,,,,,,FALSE,
c_al_jazira_3cf19a97,,Al Jazira,Al Jazira,,,,,,,,,FALSE,
c_al_najma_9b74810f,,Al Najma,Al Najma,,,,,,,,,FALSE,
c_al_nassr_4ed92392,,Al Nassr,Al Nassr,,,,,,,,,FALSE,
c_al_qadsiah_2c418904,,Al Qadsiah,Al Qadsiah,,,,,,,,,FALSE,
c_al_rayyan_e5871040,,Al Rayyan,Al Rayyan,,,,,,,,,FALSE,
c_al_sadd_a599a00e,,Al Sadd,Al Sadd,,,,,,,,,FALSE,
c_al_shamal_91835f7b,,Al Shamal,Al Shamal,,,,,,,,,FALSE,
c_al_ula_28613b64,,Al Ula,Al Ula,,,,,,,,,FALSE,
c_al_wakrah_abf60aa2,,Al Wakrah,Al Wakrah,,,,,,,,,FALSE,
c_al_ahli_2ee190b5,,Al-Ahli,Al-Ahli,,,,,,,,,FALSE,
c_al_faisaly_d08621cd,,Al-Faisaly,Al-Faisaly,,,,,,,,,FALSE,
c_al_hussein_1fe1435d,,Al-Hussein,Al-Hussein,,,,,,,,,FALSE,
c_al_karma_f9b63d11,,Al-Karma,Al-Karma,,,,,,,,,FALSE,
c_al_khor_f91729aa,,Al-Khor,Al-Khor,,,,,,,,,FALSE,
c_al_nasr_0bf2f525,,Al-Nasr,Al-Nasr,,,,,,,,,FALSE,
c_al_quwa_al_jawiya_d23a171e,,Al-Quwa Al-Jawiya,Al-Quwa Al-Jawiya,,,,,,,,,FALSE,
c_al_riyadh_679deb94,,Al-Riyadh,Al-Riyadh,,,,,,,,,FALSE,
c_al_sailiaya_6158b2fd,,Al-Sailiaya,Al-Sailiaya,,,,,,,,,FALSE,
c_al_shabab_e27f5149,,Al-Shabab,Al-Shabab,,,,,,,,,FALSE,
c_al_shorta_03f6bef7,,Al-Shorta,Al-Shorta,,,,,,,,,FALSE,
c_al_talaba_856167fb,,Al-Talaba,Al-Talaba,,,,,,,,,FALSE,
c_al_wahda_7ae987ab,,Al-Wahda,Al-Wahda,,,,,,,,,FALSE,
c_al_wehdat_2cc29034,,Al-Wehdat,Al-Wehdat,,,,,,,,,FALSE,
c_al_zawraa_7bba0fc0,,Al-Zawraa,Al-Zawraa,,,,,,,,,FALSE,
c_alanyaspor_661d3784,,Alanyaspor,Alanyaspor,,,,,,,,,FALSE,
c_albirex_niigata_cab00434,,Albirex Niigata,Albirex Niigata,,,,,,,,,FALSE,
c_almere_11b3096f,,Almere,Almere,,,,,,,,,FALSE,
c_america_0ffdae40,,América,America,,,,,,,,,FALSE,
c_anderlecht_b0025a96,,Anderlecht,Anderlecht,,,,,,,,,FALSE,
c_angers_df67ea45,,Angers,Angers,,,,,,,,,FALSE,
c_antwerp_7961b08d,,Antwerp,Antwerp,,,,,,,,,FALSE,
c_apoel_nicosia_af3c6796,,Apoel Nicosia,Apoel Nicosia,,,,,,,,,FALSE,
c_apollon_limassol_b6137677,,Apollon Limassol,Apollon Limassol,,,,,,,,,FALSE,
c_aris_limassol_d501bdb4,,Aris Limassol,Aris Limassol,,,,,,,,,FALSE,
c_arsenal_93d10937,,Arsenal,Arsenal,,,,,,,,,FALSE,
c_astana_f8b0106f,,Astana,Astana,,,,,,,,,FALSE,
c_aston_villa_2b918477,,Aston Villa,Aston Villa,,,,,,,,,FALSE,
c_atalanta_f8d83567,,Atalanta,Atalanta,,,,,,,,,FALSE,
c_athletic_club_24c5af40,,Athletic Club,Athletic Club,,,,,,,,,FALSE,
c_athletico_paranaense_2178bb1a,,Athletico Paranaense,Athletico Paranaense,,,,,,,,,FALSE,
c_atlanta_united_43563fa4,,Atlanta United,Atlanta United,,,,,,,,,FALSE,
c_atlas_292eeed6,,Atlas,Atlas,,,,,,,,,FALSE,
c_atletico_madrid_9b17a9e6,,Atletico Madrid,Atletico Madrid,,,,,,,,,FALSE,
c_atletico_mineiro_a8379d4f,,Atletico Mineiro,Atletico Mineiro,,,,,,,,,FALSE,
c_atletico_nacional_4666103f,,Atlético Nacional,Atletico Nacional,,,,,,,,,FALSE,
c_atromitos_ea5a8225,,Atromitos,Atromitos,,,,,,,,,FALSE,
c_auckland_fc_a034ca43,,Auckland FC,Auckland FC,,,,,,,,,FALSE,
c_augsburg_eecde4b3,,Augsburg,Augsburg,,,,,,,,,FALSE,
c_austria_vienna_84acf87e,,Austria Vienna,Austria Vienna,,,,,,,,,FALSE,
c_auxerre_a2be9c4e,,Auxerre,Auxerre,,,,,,,,,FALSE,
c_baniyas_89e1539a,,Baniyas,Baniyas,,,,,,,,,FALSE,
c_barcelona_cb30c55c,,Barcelona,Barcelona,,,,,,,,,FALSE,
c_barcelona_b_ef28ece1,,Barcelona B,Barcelona B,,,,,,,,,FALSE,
c_barnsley_4509838f,,Barnsley,Barnsley,,,,,,,,,FALSE,
c_bastia_1e5b7984,,Bastia,Bastia,,,,,,,,,FALSE,
c_bayer_leverkusen_39ddc43b,,Bayer Leverkusen,Bayer Leverkusen,,,,,,,,,FALSE,
c_bayern_munich_e963c2ea,,Bayern Munich,Bayern Munich,,,,,,,,,FALSE,
c_benfica_5d914960,,Benfica,Benfica,,,,,,,,,FALSE,
c_besiktas_daeca9ad,,Besiktas,Besiktas,,,,,,,,,FALSE,
c_beveren_04c54466,,Beveren,Beveren,,,,,,,,,FALSE,
c_birmingham_city_b5dc6570,,Birmingham City,Birmingham City,,,,,,,,,FALSE,
c_boca_juniors_6bfb0da4,,Boca Juniors,Boca Juniors,,,,,,,,,FALSE,
c_bod_glimt_b9be1ed7,,Bodø/Glimt,Bod/Glimt,,,,,,,,,FALSE,
c_bologna_1c61a9b1,,Bologna,Bologna,,,,,,,,,FALSE,
c_borussia_dortmund_8a058a04,,Borussia Dortmund,Borussia Dortmund,,,,,,,,,FALSE,
c_borussia_moenchengladbach_43de423e,,Borussia Moenchengladbach,Borussia Moenchengladbach,,,,,,,,,FALSE,
c_borussia_monchengladbach_e9b82a3e,,Borussia Mönchengladbach,Borussia Monchengladbach,,,,,,,,,FALSE,
c_botafogo_99e3bf74,,Botafogo,Botafogo,,,,,,,,,FALSE,
