player_id,tournament,team_code,fifa_listed_name,goals,assists,minutes_played,yellow_cards,red_cards,indirect_red_cards,as_of_stage,source_id,retrieved_at
,FIFA World Cup 2026,URU,Maxi Araujo,2,1,278,0,0,0,through quarterfinals,fifa_player_stats_2026,2026-07-12
,FIFA World Cup 2026,EGY,Trezeguet,1,1,204,0,0,0,through quarterfinals,fifa_player_stats_2026,2026-07-12
,FIFA World Cup 2026,USA,Giovanni Reyna,1,0,155,0,0,0,through quarterfinals,fifa_player_stats_2026,2026-07-12
,FIFA World Cup 2026,COL,Juan Quintero,0,1,146,0,0,0,through quarterfinals,fifa_player_stats_2026,2026-07-12
,FIFA World Cup 2026,AUS,Paul Okon Engstler,0,1,214,0,0,0,through quarterfinals,fifa_player_stats_2026,2026-07-12
,FIFA World Cup 2026,EGY,Nabil Donga,0,0,0,0,0,0,through quarterfinals,fifa_player_stats_2026,2026-07-12
,FIFA World Cup 2026,PAR,Gatito Fernandez,0,0,0,0,0,0,through quarterfinals,fifa_player_stats_2026,2026-07-12
,FIFA World Cup 2026,HAI,Markhus Lacroix,0,0,0,0,0,0,through quarterfinals,fifa_player_stats_2026,2026-07-12
,FIFA World Cup 2026,ESP,Victor Munoz,0,0,0,0,0,0,through quarterfinals,fifa_player_stats_2026,2026-07-12
,FIFA World Cup 2026,BRA,Ederson,0,0,0,0,0,0,through quarterfinals,fifa_player_stats_2026,2026-07-12
,FIFA World Cup 2026,JOR,Mohammad Abughoush,0,0,0,0,0,0,through quarterfinals,fifa_player_stats_2026,2026-07-12
,FIFA World Cup 2026,PAR,Alejandro Romero Gamarra,0,0,18,0,0,0,through quarterfinals,fifa_player_stats_2026,2026-07-12
,FIFA World Cup 2026,USA,Alex Zendejas,0,0,22,0,0,0,through quarterfinals,fifa_player_stats_2026,2026-07-12
,FIFA World Cup 2026,TUN,Mohamed Hadj Mahmoud,0,0,52,0,0,0,through quarterfinals,fifa_player_stats_2026,2026-07-12
,FIFA World Cup 2026,GHA,Prince Adu,0,0,62,0,0,0,through quarterfinals,fifa_player_stats_2026,2026-07-12
,FIFA World Cup 2026,QAT,Homam Ahmed,0,0,134,0,1,0,through quarterfinals,fifa_player_stats_2026,2026-07-12
,FIFA World Cup 2026,GHA,Abdul Fatawu,0,0,163,1,0,0,through quarterfinals,fifa_player_stats_2026,2026-07-12
,FIFA World Cup 2026,RSA,Sphephelo Sithole,0,0,252,0,1,0,through quarterfinals,fifa_player_stats_2026,2026-07-12
,FIFA World Cup 2026,IRN,Ali Nemati,0,0,309,1,0,0,through quarterfinals,fifa_player_stats_2026,2026-07-12
,FIFA World Cup 2026,CPV,Pico Lopes,0,0,445,0,0,0,through quarterfinals,fifa_player_stats_2026,2026-07-12
,FIFA World Cup 2026,CPV,Diney Borges,0,0,445,1,0,0,through quarterfinals,fifa_player_stats_2026,2026-07-12
