player_id,display_name,wikidata_id,place_of_birth,birth_country,bio_source_url
p_arg_marcos_senesi_23e61c4b,Marcos Senesi,Q23413053,Concordia,Argentina,https://www.wikidata.org/wiki/Q23413053
p_aut_dejan_ljubicic_e4b92483,Dejan Ljubičić,Q33131174,Vienna,Austria,https://www.wikidata.org/wiki/Q33131174
p_bih_mladen_jurkas_7dd698f1,Mladen Jurkas,Q140007173,Doboj,Bosnia and Herzegovina,https://www.wikidata.org/wiki/Q140007173
p_bih_arjan_malic_36d2d9a8,Arjan Malić,Q121028932,Jesenice,Slovenia,https://www.wikidata.org/wiki/Q121028932
p_bra_ederson_silva_b97cfdca,Éderson Silva,Q59150057,Campo Grande,Brazil,https://www.wikidata.org/wiki/Q59150057
p_can_jayden_nelson_0bf614a8,Jayden Nelson,Q64748312,Brampton,Canada,https://www.wikidata.org/wiki/Q64748312
p_cze_matej_kovar_e022bdce,Matěj Kovář,Q59914031,Uherské Hradiště,Czech Republic,https://www.wikidata.org/wiki/Q59914031
p_cze_pavel_sulc_da22eec3,Pavel Šulc,Q60791524,Karlovy Vary,Czech Republic,https://www.wikidata.org/wiki/Q60791524
p_eng_trevoh_chalobah_10f08bc4,Trevoh Chalobah,Q36696865,Freetown,Sierra Leone,https://www.wikidata.org/wiki/Q36696865
p_ger_nadiem_amiri_5a1a2651,Nadiem Amiri,Q19274473,Ludwigshafen,Germany,https://www.wikidata.org/wiki/Q19274473
p_ger_assan_ouedraogo_4c6134e2,Assan Ouédraogo,Q114825245,Mülheim an der Ruhr,Germany,https://www.wikidata.org/wiki/Q114825245
p_hai_garven_metusala_665742b3,Garven Metusala,Q107370468,Terrebonne,Canada,https://www.wikidata.org/wiki/Q107370468
p_irn_shahriyar_moghanlou_434f2302,Shahriyar Moghanlou,Q20641191,Zanjan,Iran,https://www.wikidata.org/wiki/Q20641191
p_irq_ahmed_maknzi_1ce7dd2d,Ahmed Maknzi,Q124273321,Baghdad,Iraq,https://www.wikidata.org/wiki/Q124273321
p_civ_christopher_operi_dfe23608,Christopher Opéri,Q41791648,Abidjan,Ivory Coast,https://www.wikidata.org/wiki/Q41791648
p_jpn_shuto_machino_90ff7b38,Shūto Machino,Q47582288,Mie Prefecture,Japan,https://www.wikidata.org/wiki/Q47582288
p_jor_mohammad_taha_fd5d6fec,Mohammad Taha,Q135287344,,,https://www.wikidata.org/wiki/Q135287344
p_mar_marwane_saadane_3a0c3536,Marwane Saâdane,Q21622757,Morocco,Morocco,https://www.wikidata.org/wiki/Q21622757
p_mar_amine_sbai_ca384cd5,Amine Sbaï,Q114841915,Sidi Kacem,Morocco,https://www.wikidata.org/wiki/Q114841915
p_ned_lutsharel_geertruida_b091abd8,Lutsharel Geertruida,Q42328360,Rotterdam,Netherlands,https://www.wikidata.org/wiki/Q42328360
p_nzl_logan_rogerson_3ff8968e,Logan Rogerson,Q20963029,New Zealand,New Zealand,https://www.wikidata.org/wiki/Q20963029
p_ksa_sultan_mandash_37fed0c4,Sultan Mandash,Q22340706,Jeddah,Saudi Arabia,https://www.wikidata.org/wiki/Q22340706
p_sco_tyler_fletcher_57f94bad,Tyler Fletcher,Q137384640,Manchester,United Kingdom,https://www.wikidata.org/wiki/Q137384640
p_kor_cho_wi_je_f44a7c6c,Cho Wi-je,Q119432409,,,https://www.wikidata.org/wiki/Q119432409
p_swe_herman_johansson_91025fe3,Herman Johansson,Q106372516,Örnsköldsvik,Sweden,https://www.wikidata.org/wiki/Q106372516
p_uzb_odiljon_hamrobekov_d3563873,Odiljon Hamrobekov,Q47501392,Uzbekistan,Uzbekistan,https://www.wikidata.org/wiki/Q47501392
p_uzb_ruslanbek_jiyanov_92e8c31a,Ruslanbek Jiyanov,Q117289729,Tashkent,Tashkent Khanate,https://www.wikidata.org/wiki/Q117289729
