player_id,caps_pre_tournament,goals_pre_tournament
p_arg_marcos_senesi_23e61c4b,3,0
p_aut_dejan_ljubicic_e4b92483,9,1
p_bih_mladen_jurkas_7dd698f1,0,0
p_bih_arjan_malic_36d2d9a8,8,0
p_bra_ederson_silva_b97cfdca,3,0
p_can_jayden_nelson_0bf614a8,14,3
p_cze_matej_kovar_e022bdce,20,0
p_cze_pavel_sulc_da22eec3,21,5
p_eng_trevoh_chalobah_10f08bc4,1,0
p_ger_nadiem_amiri_5a1a2651,11,1
p_ger_assan_ouedraogo_4c6134e2,1,1
p_hai_garven_metusala_665742b3,16,0
p_irn_shahriyar_moghanlou_434f2302,21,2
p_irq_ahmed_maknzi_1ce7dd2d,7,0
p_civ_christopher_operi_dfe23608,12,0
p_jpn_shuto_machino_90ff7b38,14,5
p_jor_mohammad_taha_fd5d6fec,2,0
p_mar_marwane_saadane_3a0c3536,8,0
p_mar_amine_sbai_ca384cd5,2,0
p_ned_lutsharel_geertruida_b091abd8,21,0
p_nzl_logan_rogerson_3ff8968e,18,2
p_ksa_sultan_mandash_37fed0c4,7,2
p_sco_tyler_fletcher_57f94bad,2,0
p_kor_cho_wi_je_f44a7c6c,1,0
p_swe_herman_johansson_91025fe3,3,0
p_uzb_odiljon_hamrobekov_d3563873,72,1
p_uzb_ruslanbek_jiyanov_92e8c31a,5,0
