squad_entry_id,tournament,team,team_code,player_id,display_name_at_source,position_group,shirt_number,squad_status,is_replacement,replaced_player_id,replacement_reason,official_roster_source_url,verified_at
se_wc2026_arg_24a47f03,FIFA World Cup 2026,Argentina,ARG,p_arg_marcos_senesi_23e61c4b,Marcos Senesi,defender,2,active,TRUE,,joined final squad after ESPN snapshot; see wikipedia_squad_notes.csv for team announcement details,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-07-12
se_wc2026_aut_f20302f7,FIFA World Cup 2026,Austria,AUT,p_aut_dejan_ljubicic_e4b92483,Dejan Ljubičić,midfielder,19,active,TRUE,,joined final squad after ESPN snapshot; see wikipedia_squad_notes.csv for team announcement details,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-07-12
se_wc2026_bih_4579ea95,FIFA World Cup 2026,Bosnia-Herzegovina,BIH,p_bih_mladen_jurkas_7dd698f1,Mladen Jurkas,goalkeeper,12,active,TRUE,,joined final squad after ESPN snapshot; see wikipedia_squad_notes.csv for team announcement details,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-07-12
se_wc2026_bih_ad862d30,FIFA World Cup 2026,Bosnia-Herzegovina,BIH,p_bih_arjan_malic_36d2d9a8,Arjan Malić,defender,24,active,TRUE,,joined final squad after ESPN snapshot; see wikipedia_squad_notes.csv for team announcement details,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-07-12
se_wc2026_bra_e4da9072,FIFA World Cup 2026,Brazil,BRA,p_bra_ederson_silva_b97cfdca,Éderson Silva,midfielder,2,active,TRUE,,joined final squad after ESPN snapshot; see wikipedia_squad_notes.csv for team announcement details,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-07-12
se_wc2026_can_d8a1c178,FIFA World Cup 2026,Canada,CAN,p_can_jayden_nelson_0bf614a8,Jayden Nelson,forward,26,active,TRUE,,joined final squad after ESPN snapshot; see wikipedia_squad_notes.csv for team announcement details,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-07-12
se_wc2026_cze_331148b3,FIFA World Cup 2026,Czechia,CZE,p_cze_matej_kovar_e022bdce,Matěj Kovář,goalkeeper,1,active,TRUE,,joined final squad after ESPN snapshot; see wikipedia_squad_notes.csv for team announcement details,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-07-12
se_wc2026_cze_19a99aef,FIFA World Cup 2026,Czechia,CZE,p_cze_pavel_sulc_da22eec3,Pavel Šulc,forward,15,active,TRUE,,joined final squad after ESPN snapshot; see wikipedia_squad_notes.csv for team announcement details,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-07-12
se_wc2026_eng_bc6d5ce1,FIFA World Cup 2026,England,ENG,p_eng_trevoh_chalobah_10f08bc4,Trevoh Chalobah,defender,12,active,TRUE,,joined final squad after ESPN snapshot; see wikipedia_squad_notes.csv for team announcement details,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-07-12
se_wc2026_ger_4c60bd05,FIFA World Cup 2026,Germany,GER,p_ger_nadiem_amiri_5a1a2651,Nadiem Amiri,midfielder,20,active,TRUE,,joined final squad after ESPN snapshot; see wikipedia_squad_notes.csv for team announcement details,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-07-12
se_wc2026_ger_853f0661,FIFA World Cup 2026,Germany,GER,p_ger_assan_ouedraogo_4c6134e2,Assan Ouédraogo,midfielder,25,active,TRUE,,joined final squad after ESPN snapshot; see wikipedia_squad_notes.csv for team announcement details,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-07-12
se_wc2026_hai_12b4dd8f,FIFA World Cup 2026,Haiti,HAI,p_hai_garven_metusala_665742b3,Garven Metusala,defender,14,active,TRUE,,joined final squad after ESPN snapshot; see wikipedia_squad_notes.csv for team announcement details,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-07-12
se_wc2026_irn_c9210026,FIFA World Cup 2026,Iran,IRN,p_irn_shahriyar_moghanlou_434f2302,Shahriyar Moghanlou,forward,20,active,TRUE,,joined final squad after ESPN snapshot; see wikipedia_squad_notes.csv for team announcement details,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-07-12
se_wc2026_irq_8f57d7d0,FIFA World Cup 2026,Iraq,IRQ,p_irq_ahmed_maknzi_1ce7dd2d,Ahmed Maknzi,defender,15,active,TRUE,,joined final squad after ESPN snapshot; see wikipedia_squad_notes.csv for team announcement details,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-07-12
se_wc2026_civ_872e8ae4,FIFA World Cup 2026,Ivory Coast,CIV,p_civ_christopher_operi_dfe23608,Christopher Opéri,defender,13,active,TRUE,,joined final squad after ESPN snapshot; see wikipedia_squad_notes.csv for team announcement details,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-07-12
