squad_entry_id,player_id,team,shirt_number,is_captain,squad_status,verified_at,official_roster_source_url,caps_pre_tournament,goals_pre_tournament,notes
se_wc2026_alg_208488a0,p_alg_aissa_mandi_18ff426e,Algeria,2,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,119,8,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_alg_539ade0f,p_alg_mohamed_amine_tougai_d2bbe8d2,Algeria,4,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,30,2,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_alg_c14dc32a,p_alg_ramiz_zerrouki_365c4fe7,Algeria,6,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,53,3,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_alg_dc8bb5d0,p_alg_riyad_mahrez_cf3747ad,Algeria,7,True,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,116,38,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_alg_bc6a03d3,p_alg_houssem_aouar_4b886415,Algeria,8,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,22,6,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_alg_baf42423,p_alg_amine_gouiri_e78ccbec,Algeria,9,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,23,10,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_alg_a6adadbe,p_alg_fares_chaibi_7363c3a0,Algeria,10,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,31,3,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_alg_1d74799c,p_alg_anis_hadj_moussa_ad8afb91,Algeria,11,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,15,2,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_alg_14cdddcb,p_alg_jaouen_hadjam_0bd5d114,Algeria,13,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,18,3,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_alg_cbd1f597,p_alg_hicham_boudaoui_0c0f5c95,Algeria,14,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,34,0,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_alg_f514df19,p_alg_rayan_ait_nouri_5cb1bf64,Algeria,15,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,30,0,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_alg_c53997cf,p_alg_oussama_benbot_899e999e,Algeria,16,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,5,0,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_alg_950d074f,p_alg_rafik_belghali_e4487e93,Algeria,17,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,13,1,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_alg_1aa3e57e,p_alg_nabil_bentaleb_b4544369,Algeria,19,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,60,6,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_alg_0311f2c6,p_alg_adil_boulbina_d1bb01d8,Algeria,20,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,12,6,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_alg_c12fdc0f,p_alg_ramy_bensebaini_3cd59af9,Algeria,21,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,82,9,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_alg_560d802e,p_alg_ibrahim_maza_9745cb11,Algeria,22,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,17,2,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_alg_399fac29,p_alg_luca_zidane_9bb39f36,Algeria,23,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,7,0,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_alg_ac443dd4,p_alg_fares_ghedjemis_fe617a47,Algeria,25,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,1,1,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_alg_2abc9947,p_alg_samir_chergui_ab6dd360,Algeria,26,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,5,0,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_alg_6c51b991,p_alg_melvin_masstil_9362665c,Algeria,1,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2,0,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_alg_0d207c95,p_alg_achraf_abada_19289ff4,Algeria,3,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,9,1,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_alg_483dbba4,p_alg_zinedine_belaid_80b40d09,Algeria,5,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,18,1,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_alg_50bda982,p_alg_nadir_benbouali_bb5a8a6a,Algeria,12,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,4,1,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_alg_8bde7e60,p_alg_mohamed_amine_amoura_56f3780c,Algeria,18,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,47,19,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_alg_bcb79bf0,p_alg_yassine_titraoui_dce1a510,Algeria,24,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,5,0,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_arg_1030ad7b,p_arg_juan_musso_67aa6620,Argentina,1,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,4,0,confirmed on FIFA final squad list via Wikipedia squads page
