team,team_code,tournament,matches_played,wins,draws,losses,goals_for,goals_against,stage_reached,assists,xg,possession_pct,as_of_stage,source_id,retrieved_at
Argentina,ARG,FIFA World Cup 2026,6,6,0,0,17,6,Semi-finals (in progress),10,13.9,55,through quarterfinals,fifa_team_stats_2026,2026-07-12
France,FRA,FIFA World Cup 2026,6,6,0,0,16,2,Semi-finals (in progress),14,13.31,53,through quarterfinals,fifa_team_stats_2026,2026-07-12
Belgium,BEL,FIFA World Cup 2026,6,3,2,1,14,7,Quarter-finals,10,10.62,46,through quarterfinals,fifa_team_stats_2026,2026-07-12
England,ENG,FIFA World Cup 2026,6,5,1,0,13,6,Semi-finals (in progress),10,12.23,52,through quarterfinals,fifa_team_stats_2026,2026-07-12
Norway,NOR,FIFA World Cup 2026,6,4,0,2,13,11,Quarter-finals,10,9.93,49,through quarterfinals,fifa_team_stats_2026,2026-07-12
Netherlands,NED,FIFA World Cup 2026,4,2,2,0,11,5,Round of 32,10,5,50,through quarterfinals,fifa_team_stats_2026,2026-07-12
United States,USA,FIFA World Cup 2026,5,3,0,2,11,8,Round of 16,4,6.37,52,through quarterfinals,fifa_team_stats_2026,2026-07-12
Germany,GER,FIFA World Cup 2026,4,2,1,1,11,5,Round of 32,10,8.64,56,through quarterfinals,fifa_team_stats_2026,2026-07-12
Spain,ESP,FIFA World Cup 2026,6,5,1,0,11,1,Semi-finals (in progress),8,12.75,60,through quarterfinals,fifa_team_stats_2026,2026-07-12
Mexico,MEX,FIFA World Cup 2026,5,4,0,1,10,3,Round of 16,7,8.1,48,through quarterfinals,fifa_team_stats_2026,2026-07-12
Morocco,MAR,FIFA World Cup 2026,6,3,2,1,10,6,Quarter-finals,9,6.57,53,through quarterfinals,fifa_team_stats_2026,2026-07-12
Senegal,SEN,FIFA World Cup 2026,4,1,0,3,10,9,Round of 32,9,7.22,49,through quarterfinals,fifa_team_stats_2026,2026-07-12
Brazil,BRA,FIFA World Cup 2026,5,3,1,1,10,4,Round of 16,8,10.88,48,through quarterfinals,fifa_team_stats_2026,2026-07-12
Switzerland,SUI,FIFA World Cup 2026,6,3,2,1,10,6,Quarter-finals,6,9.59,49,through quarterfinals,fifa_team_stats_2026,2026-07-12
