rank,player_name,team_code,position,goals,assists,minutes_played
1,Kylian Mbappe,FRA,FW,8,3,563
2,Lionel Messi,ARG,FW,8,2,608
3,Erling Haaland,NOR,FW,7,0,537
4,Jude Bellingham,ENG,MF,6,1,574
5,Harry Kane,ENG,FW,6,1,627
6,Ousmane Dembele,FRA,FW,5,2,492
7,Ismaila Sarr,SEN,FW,4,1,419
8,Julian Quinones,MEX,FW,4,1,440
9,Vinicius Junior,BRA,FW,4,1,505
10,Mikel Oyarzabal,ESP,FW,4,1,519
11,Deniz Undav,GER,FW,3,2,174
12,Johan Manzambi,SUI,MF,3,2,220
13,Romelu Lukaku,BEL,FW,3,1,279
14,Charles De Ketelaere,BEL,FW,3,1,385
15,Cody Gakpo,NED,FW,3,1,394
16,Brian Brobbey,NED,FW,3,0,245
17,Elijah Just,NZL,MF,3,0,291
18,Matheus Cunha,BRA,FW,3,0,324
19,Folarin Balogun,USA,FW,3,0,348
20,Raul Jimenez,MEX,FW,3,0,348
21,Kai Havertz,GER,FW,3,0,392
22,Yoane Wissa,COD,FW,3,0,409
23,Ismael Saibari,MAR,MF,3,0,411
24,Jonathan David,CAN,FW,3,0,475
25,Cristiano Ronaldo,POR,FW,3,0,490
26,Crysencio Summerville,NED,FW,2,2,282
27,Breel Embolo,SUI,FW,2,2,531
28,Leandro Trossard,BEL,FW,2,2,561
29,Soufiane Rahimi,MAR,FW,2,1,215
30,Nicolas Pepe,CIV,FW,2,1,255
31,Pape Gueye,SEN,MF,2,1,257
32,Maxi Araujo,URU,MF,2,1,278
33,Riyad Mahrez,ALG,FW,2,1,288
34,Ramin Rezaeian,IRN,DF,2,1,309
35,Ruben Vargas,SUI,FW,2,1,314
36,Bradley Barcola,FRA,FW,2,1,316
37,Lautaro Martinez,ARG,FW,2,1,347
38,Ayase Ueda,JPN,FW,2,1,349
39,Mostafa Zico,EGY,MF,2,1,398
40,Malik Tillman,USA,MF,2,1,415
41,Ermin Mahmic,BIH,MF,2,0,88
42,Habib Diarra,SEN,MF,2,0,168
43,Marko Arnautovic,AUT,FW,2,0,173
44,Mikel Merino,ESP,MF,2,0,180
45,Amad Diallo,CIV,FW,2,0,211
46,Cyle Larin,CAN,FW,2,0,224
47,Anthony Elanga,SWE,FW,2,0,247
48,Daichi Kamada,JPN,MF,2,0,359
49,Yasin Ayari,SWE,MF,2,0,371
50,Emam Ashour,EGY,MF,2,0,395
51,Dan Ndoye,SUI,FW,2,0,437
52,Daniel Munoz,COL,DF,2,0,451
53,Azzedine Ounahi,MAR,MF,2,0,477
54,Youri Tielemans,BEL,MF,2,0,538
55,Andreas Schjelderup,NOR,MF,1,3,297
56,Alexander Isak,SWE,FW,1,3,389
57,Iliman Ndiaye,SEN,FW,1,2,134
58,Nathan Saliba,CAN,MF,1,2,206
59,Hans Vanaken,BEL,MF,1,2,362
60,Viktor Gyokeres,SWE,FW,1,2,400
61,Julio Enciso,PAR,FW,1,2,431
62,Mohamed Salah,EGY,FW,1,2,469
63,Achraf Hakimi,MAR,DF,1,2,650
64,Promise David,CAN,FW,1,1,105
65,Baris Alper Yilmaz,TUR,FW,1,1,200
66,Rafael Leao,POR,FW,1,1,203
67,Trezeguet,EGY,FW,1,1,204
68,Mousa Altamari,JOR,FW,1,1,230
69,Sebastian Berhalter,USA,MF,1,1,231
70,Luis Romo,MEX,MF,1,1,284
71,Hwang Inbeom,KOR,MF,1,1,286
72,Felix Nmecha,GER,MF,1,1,299
73,Kaishu Sano,JPN,MF,1,1,303
74,Nathaniel Brown,GER,DF,1,1,319
75,Keito Nakamura,JPN,MF,1,1,330
76,Petar Sucic,CRO,MF,1,1,338
77,Alex Baena,ESP,MF,1,1,354
78,Desire Doue,FRA,FW,1,1,359
79,Ivan Perisic,CRO,FW,1,1,413
80,Virgil Van Dijk,NED,DF,1,1,432
81,Matias Galarza,PAR,MF,1,1,439
82,Alex Freeman,USA,DF,1,1,442
83,Luis Diaz,COL,FW,1,1,525
84,Lisandro Martinez,ARG,DF,1,1,589
85,Alexis Mac Allister,ARG,MF,1,1,623
86,Kaan Ayhan,TUR,MF,1,0,11
87,Mattias Svanberg,SWE,MF,1,0,25
88,Mahmoud Saber,EGY,MF,1,0,51
89,Nadhir Benbouali,ALG,FW,1,0,52
90,Neymar Jr,BRA,FW,1,0,55
91,Fiston Mayele,COD,FW,1,0,55
92,Goncalo Ramos,POR,FW,1,0,58
93,Giovani Lo Celso,ARG,MF,1,0,64
94,Hassan Alhaydos,QAT,FW,1,0,69
95,Jovo Lukic,BIH,FW,1,0,77
96,Mateo Chavez,MEX,DF,1,0,81
97,Sasa Kalajdzic,AUT,FW,1,0,88
98,Hazem Mastouri,TUN,FW,1,0,92
99,Jaminton Campaz,COL,FW,1,0,98
100,Thelo Aasgaard,NOR,MF,1,0,100
101,Gessime Yassine,MAR,MF,1,0,101
102,Alexis Saelemaekers,BEL,MF,1,0,107
103,Alvaro Fidalgo,MEX,MF,1,0,117
104,Petar Musa,CRO,FW,1,0,119
105,Auston Trusty,USA,DF,1,0,123
106,Aymen Hussein,IRQ,FW,1,0,128
107,Helio Varela,CPV,MF,1,0,130
108,Oh Hyeongyu,KOR,FW,1,0,145
109,Nico Schlotterbeck,GER,DF,1,0,152
110,Giovanni Reyna,USA,MF,1,0,155
111,Brian Cipenga,COD,FW,1,0,160
112,Ante Budimir,CRO,FW,1,0,168
113,Gabriel Martinelli,BRA,FW,1,0,171
114,Leo Ostigard,NOR,DF,1,0,184
115,Omar Rekik,TUN,DF,1,0,200
116,Wilson Isidor,HAI,FW,1,0,201
117,Marcus Rashford,ENG,FW,1,0,203
118,Ibrahim Mbaye,SEN,FW,1,0,203
119,Michal Sadilek,CZE,MF,1,0,204
120,Nikola Vlasic,CRO,MF,1,0,204
121,Derrick Luckassen,GHA,DF,1,0,205
122,Mauricio,PAR,MF,1,0,208
123,Fabian Ruiz,ESP,MF,1,0,218
124,Nilson Angulo,ECU,FW,1,0,240
125,Abbosbek Fayzullaev,UZB,MF,1,0,240
126,Junya Ito,JPN,MF,1,0,242
127,Livano Comenencia,CUW,MF,1,0,253
128,Thapelo Maseko,RSA,FW,1,0,255
129,Agustin Canobbio,URU,MF,1,0,261
130,Abdulelah Alamri,KSA,DF,1,0,268
131,Amine Gouiri,ALG,FW,1,0,270
132,Daizen Maeda,JPN,MF,1,0,271
133,Mohammad Mohebbi,IRN,MF,1,0,271
134,Marcus Holmgren Pedersen,NOR,DF,1,0,273
135,John Mcginn,SCO,MF,1,0,277
136,Romano Schmid,AUT,MF,1,0,283
137,Nestory Irankunda,AUS,FW,1,0,285
138,Nizar Alrashdan,JOR,MF,1,0,289
139,Ali Olwan,JOR,FW,1,0,297
140,Deroy Duarte,CPV,MF,1,0,300
141,Ladislav Krejci,CZE,DF,1,0,301
142,Teboho Mokoena,RSA,MF,1,0,301
