team,goals,assists,xg,possession_pct
Argentina,17,10,13.9,55
France,16,14,13.31,53
Belgium,14,10,10.62,46
England,13,10,12.23,52
Norway,13,10,9.93,49
Netherlands,11,10,5,50
USA,11,4,6.37,52
Germany,11,10,8.64,56
Spain,11,8,12.75,60
Mexico,10,7,8.1,48
Morocco,10,9,6.57,53
Senegal,10,9,7.22,49
Brazil,10,8,10.88,48
Switzerland,10,6,9.59,49
Canada,9,3,9.02,46
Japan,8,7,3.17,42
Egypt,8,8,5.75,46
Portugal,8,4,6.39,53
Sweden,7,6,4.66,43
Croatia,6,5,3.41,46
Austria,6,4,3.88,41
Algeria,5,3,4.73,56
Bosnia and Herzegovina,5,3,2.04,40
Côte d'Ivoire,5,4,5.5,45
Colombia,5,5,7.32,53
Congo DR,5,3,3.71,37
New Zealand,4,3,2.48,42
Cabo Verde,4,2,2.56,35
Jordan,3,3,1.87,29
Paraguay,3,3,1.99,27
Uruguay,3,1,3.95,51
IR Iran,3,1,4.57,37
Türkiye,3,2,5.5,58
Australia,3,1,2.73,35
Korea Republic,2,2,3.38,56
South Africa,2,1,2.48,46
Tunisia,2,2,1.12,36
Ecuador,2,2,5.88,52
Uzbekistan,2,1,1.71,35
Ghana,2,2,2.34,34
Qatar,2,1,1.88,31
Haiti,2,1,1.62,42
Czechia,2,2,2.44,37
Curaçao,1,0,1.7,32
Iraq,1,1,2.11,37
Saudi Arabia,1,0,1.52,33
Scotland,1,0,2.34,41
Panama,0,0,2.19,42
